Team,FF,FR,FR TD,Rec FUM,Rush FUM,year
Giants,                    34                  ,                    22                  ,                    0                  ,                    9                  ,                    5                  ,2010
Saints,                    25                  ,                    16                  ,                    0                  ,                    10                  ,                    8                  ,2010
Steelers,                    24                  ,                    14                  ,                    0                  ,                    4                  ,                    5                  ,2010
Bears,                    23                  ,                    13                  ,                    0                  ,                    6                  ,                    15                  ,2010
Rams,                    23                  ,                    12                  ,                    0                  ,                    5                  ,                    5                  ,2010
Lions,                    21                  ,                    13                  ,                    1                  ,                    8                  ,                    8                  ,2010
Redskins,                    19                  ,                    12                  ,                    1                  ,                    6                  ,                    7                  ,2010
Chiefs,                    18                  ,                    9                  ,                    0                  ,                    2                  ,                    9                  ,2010
Titans,                    17                  ,                    8                  ,                    0                  ,                    3                  ,                    11                  ,2010
Jets,                    17                  ,                    17                  ,                    0                  ,                    2                  ,                    12                  ,2010
Seahawks,                    16                  ,                    10                  ,                    0                  ,                    4                  ,                    7                  ,2010
Ravens,                    15                  ,                    8                  ,                    0                  ,                    7                  ,                    10                  ,2010
Bills,                    15                  ,                    11                  ,                    1                  ,                    4                  ,                    10                  ,2010
Packers,                    15                  ,                    8                  ,                    1                  ,                    5                  ,                    6                  ,2010
Raiders,                    15                  ,                    12                  ,                    1                  ,                    2                  ,                    6                  ,2010
Falcons,                    14                  ,                    9                  ,                    1                  ,                    4                  ,                    8                  ,2010
Panthers,                    14                  ,                    12                  ,                    0                  ,                    5                  ,                    9                  ,2010
Cowboys,                    14                  ,                    10                  ,                    1                  ,                    3                  ,                    9                  ,2010
Broncos,                    13                  ,                    8                  ,                    1                  ,                    1                  ,                    13                  ,2010
Dolphins,                    13                  ,                    8                  ,                    1                  ,                    1                  ,                    4                  ,2010
Cardinals,                    13                  ,                    13                  ,                    4                  ,                    4                  ,                    10                  ,2010
Niners,                    13                  ,                    7                  ,                    0                  ,                    4                  ,                    4                  ,2010
Bengals,                    12                  ,                    10                  ,                    1                  ,                    5                  ,                    8                  ,2010
Colts,                    12                  ,                    11                  ,                    1                  ,                    5                  ,                    7                  ,2010
Vikings,                    12                  ,                    10                  ,                    1                  ,                    3                  ,                    7                  ,2010
Buccaneers,                    12                  ,                    9                  ,                    0                  ,                    2                  ,                    7                  ,2010
Texans,                    11                  ,                    5                  ,                    0                  ,                    3                  ,                    5                  ,2010
Patriots,                    11                  ,                    12                  ,                    1                  ,                    3                  ,                    9                  ,2010
Eagles,                    11                  ,                    11                  ,                    1                  ,                    2                  ,                    7                  ,2010
Chargers,                    11                  ,                    6                  ,                    0                  ,                    5                  ,                    2                  ,2010
Browns,                    9                  ,                    9                  ,                    1                  ,                    1                  ,                    4                  ,2010
Jaguars,                    8                  ,                    5                  ,                    0                  ,                    4                  ,                    4                  ,2010
