Team,Sck,Comb,Asst,Solo,year
Steelers,                    48                  ,                    937                  ,                    252                  ,                    629                  ,2010
Packers,                    47                  ,                    877                  ,                    203                  ,                    676                  ,2010
Raiders,                    47                  ,                    867                  ,                    191                  ,                    712                  ,2010
Chargers,                    47                  ,                    840                  ,                    155                  ,                    691                  ,2010
Giants,                    46                  ,                    912                  ,                    217                  ,                    643                  ,2010
Lions,                    44                  ,                    949                  ,                    246                  ,                    743                  ,2010
Rams,                    43                  ,                    861                  ,                    127                  ,                    770                  ,2010
Titans,                    40                  ,                    1136                  ,                    262                  ,                    759                  ,2010
Jets,                    40                  ,                    835                  ,                    181                  ,                    633                  ,2010
Chiefs,                    39                  ,                    922                  ,                    239                  ,                    667                  ,2010
Dolphins,                    39                  ,                    869                  ,                    156                  ,                    739                  ,2010
Eagles,                    39                  ,                    815                  ,                    111                  ,                    758                  ,2010
Seahawks,                    37                  ,                    986                  ,                    233                  ,                    690                  ,2010
Patriots,                    36                  ,                    1046                  ,                    273                  ,                    641                  ,2010
Niners,                    36                  ,                    927                  ,                    170                  ,                    822                  ,2010
Cowboys,                    35                  ,                    877                  ,                    171                  ,                    703                  ,2010
Bears,                    34                  ,                    888                  ,                    172                  ,                    749                  ,2010
Saints,                    33                  ,                    918                  ,                    211                  ,                    673                  ,2010
Cardinals,                    33                  ,                    984                  ,                    173                  ,                    797                  ,2010
Falcons,                    31                  ,                    873                  ,                    179                  ,                    686                  ,2010
Panthers,                    31                  ,                    985                  ,                    219                  ,                    775                  ,2010
Vikings,                    31                  ,                    912                  ,                    235                  ,                    696                  ,2010
Texans,                    30                  ,                    988                  ,                    271                  ,                    645                  ,2010
Colts,                    30                  ,                    1022                  ,                    262                  ,                    664                  ,2010
Browns,                    29                  ,                    1030                  ,                    257                  ,                    690                  ,2010
Redskins,                    29                  ,                    1065                  ,                    355                  ,                    661                  ,2010
Ravens,                    27                  ,                    950                  ,                    235                  ,                    615                  ,2010
Bills,                    27                  ,                    1179                  ,                    388                  ,                    612                  ,2010
Bengals,                    27                  ,                    926                  ,                    294                  ,                    640                  ,2010
Jaguars,                    26                  ,                    866                  ,                    184                  ,                    680                  ,2010
Buccaneers,                    26                  ,                    903                  ,                    179                  ,                    697                  ,2010
Broncos,                    23                  ,                    937                  ,                    157                  ,                    784                  ,2010
Vikings,                    50                  ,                    982                  ,                    294                  ,                    757                  ,2011
Eagles,                    50                  ,                    836                  ,                    167                  ,                    731                  ,2011
Ravens,                    48                  ,                    919                  ,                    246                  ,                    646                  ,2011
Giants,                    48                  ,                    995                  ,                    237                  ,                    693                  ,2011
Bengals,                    45                  ,                    933                  ,                    314                  ,                    685                  ,2011
Texans,                    44                  ,                    815                  ,                    192                  ,                    633                  ,2011
Cowboys,                    42                  ,                    869                  ,                    206                  ,                    685                  ,2011
Cardinals,                    42                  ,                    947                  ,                    190                  ,                    826                  ,2011
Niners,                    42                  ,                    826                  ,                    160                  ,                    684                  ,2011
Broncos,                    41                  ,                    952                  ,                    205                  ,                    794                  ,2011
Lions,                    41                  ,                    916                  ,                    215                  ,                    766                  ,2011
Dolphins,                    41                  ,                    876                  ,                    163                  ,                    779                  ,2011
Redskins,                    41                  ,                    986                  ,                    355                  ,                    618                  ,2011
Patriots,                    40                  ,                    1009                  ,                    351                  ,                    662                  ,2011
Rams,                    39                  ,                    933                  ,                    189                  ,                    788                  ,2011
Raiders,                    39                  ,                    880                  ,                    191                  ,                    722                  ,2011
Jets,                    35                  ,                    849                  ,                    198                  ,                    718                  ,2011
Steelers,                    35                  ,                    875                  ,                    247                  ,                    612                  ,2011
Falcons,                    33                  ,                    855                  ,                    260                  ,                    659                  ,2011
Bears,                    33                  ,                    865                  ,                    178                  ,                    775                  ,2011
Saints,                    33                  ,                    846                  ,                    239                  ,                    655                  ,2011
Seahawks,                    33                  ,                    962                  ,                    258                  ,                    742                  ,2011
Browns,                    32                  ,                    958                  ,                    262                  ,                    734                  ,2011
Chargers,                    32                  ,                    921                  ,                    216                  ,                    653                  ,2011
Panthers,                    31                  ,                    908                  ,                    247                  ,                    688                  ,2011
Jaguars,                    31                  ,                    923                  ,                    285                  ,                    687                  ,2011
Bills,                    29                  ,                    986                  ,                    288                  ,                    672                  ,2011
Packers,                    29                  ,                    922                  ,                    229                  ,                    691                  ,2011
Colts,                    29                  ,                    1143                  ,                    475                  ,                    695                  ,2011
Chiefs,                    29                  ,                    895                  ,                    232                  ,                    714                  ,2011
Titans,                    28                  ,                    955                  ,                    219                  ,                    782                  ,2011
Buccaneers,                    23                  ,                    886                  ,                    162                  ,                    741                  ,2011
Broncos,                    52                  ,                    896                  ,                    246                  ,                    705                  ,2012
Rams,                    52                  ,                    929                  ,                    173                  ,                    811                  ,2012
Bengals,                    51                  ,                    1003                  ,                    361                  ,                    681                  ,2012
Packers,                    47                  ,                    921                  ,                    273                  ,                    642                  ,2012
Texans,                    44                  ,                    830                  ,                    202                  ,                    700                  ,2012
Vikings,                    44                  ,                    978                  ,                    270                  ,                    763                  ,2012
Dolphins,                    42                  ,                    929                  ,                    209                  ,                    768                  ,2012
Bears,                    41                  ,                    867                  ,                    204                  ,                    717                  ,2012
Panthers,                    39                  ,                    978                  ,                    339                  ,                    700                  ,2012
Titans,                    39                  ,                    1042                  ,                    310                  ,                    750                  ,2012
Browns,                    38                  ,                    1010                  ,                    292                  ,                    747                  ,2012
Cardinals,                    38                  ,                    901                  ,                    190                  ,                    767                  ,2012
Chargers,                    38                  ,                    950                  ,                    243                  ,                    658                  ,2012
Niners,                    38                  ,                    899                  ,                    215                  ,                    708                  ,2012
Ravens,                    37                  ,                    1048                  ,                    292                  ,                    705                  ,2012
Patriots,                    37                  ,                    945                  ,                    295                  ,                    719                  ,2012
Steelers,                    37                  ,                    884                  ,                    257                  ,                    610                  ,2012
Bills,                    36                  ,                    963                  ,                    271                  ,                    683                  ,2012
Seahawks,                    36                  ,                    875                  ,                    273                  ,                    629                  ,2012
Cowboys,                    34                  ,                    945                  ,                    318                  ,                    663                  ,2012
Lions,                    34                  ,                    902                  ,                    229                  ,                    734                  ,2012
Giants,                    33                  ,                    1012                  ,                    279                  ,                    666                  ,2012
Colts,                    32                  ,                    891                  ,                    256                  ,                    713                  ,2012
Redskins,                    32                  ,                    973                  ,                    345                  ,                    619                  ,2012
Saints,                    30                  ,                    977                  ,                    317                  ,                    725                  ,2012
Jets,                    30                  ,                    898                  ,                    260                  ,                    723                  ,2012
Eagles,                    30                  ,                    875                  ,                    178                  ,                    751                  ,2012
Falcons,                    29                  ,                    853                  ,                    187                  ,                    730                  ,2012
Chiefs,                    27                  ,                    841                  ,                    142                  ,                    749                  ,2012
Buccaneers,                    27                  ,                    908                  ,                    190                  ,                    719                  ,2012
Raiders,                    25                  ,                    932                  ,                    249                  ,                    706                  ,2012
Jaguars,                    20                  ,                    981                  ,                    188                  ,                    850                  ,2012
Panthers,                    60                  ,                    926                  ,                    281                  ,                    677                  ,2013
Bills,                    57                  ,                    1060                  ,                    344                  ,                    637                  ,2013
Rams,                    53                  ,                    912                  ,                    167                  ,                    782                  ,2013
Saints,                    49                  ,                    858                  ,                    280                  ,                    634                  ,2013
Patriots,                    48                  ,                    1039                  ,                    393                  ,                    681                  ,2013
Chiefs,                    47                  ,                    849                  ,                    122                  ,                    789                  ,2013
Cardinals,                    47                  ,                    821                  ,                    109                  ,                    797                  ,2013
Packers,                    44                  ,                    943                  ,                    277                  ,                    676                  ,2013
Seahawks,                    44                  ,                    944                  ,                    324                  ,                    638                  ,2013
Bengals,                    43                  ,                    941                  ,                    306                  ,                    677                  ,2013
Colts,                    42                  ,                    940                  ,                    279                  ,                    701                  ,2013
Dolphins,                    42                  ,                    987                  ,                    234                  ,                    795                  ,2013
Broncos,                    41                  ,                    915                  ,                    226                  ,                    717                  ,2013
Vikings,                    41                  ,                    1045                  ,                    329                  ,                    763                  ,2013
Jets,                    41                  ,                    968                  ,                    334                  ,                    680                  ,2013
Ravens,                    40                  ,                    970                  ,                    360                  ,                    669                  ,2013
Browns,                    40                  ,                    1015                  ,                    361                  ,                    718                  ,2013
Raiders,                    38                  ,                    959                  ,                    214                  ,                    751                  ,2013
Niners,                    38                  ,                    880                  ,                    170                  ,                    718                  ,2013
Eagles,                    37                  ,                    976                  ,                    202                  ,                    815                  ,2013
Titans,                    36                  ,                    900                  ,                    198                  ,                    770                  ,2013
Redskins,                    36                  ,                    973                  ,                    325                  ,                    650                  ,2013
Chargers,                    35                  ,                    899                  ,                    193                  ,                    684                  ,2013
Buccaneers,                    35                  ,                    957                  ,                    252                  ,                    688                  ,2013
Cowboys,                    34                  ,                    980                  ,                    243                  ,                    758                  ,2013
Giants,                    34                  ,                    1031                  ,                    259                  ,                    703                  ,2013
Steelers,                    34                  ,                    945                  ,                    276                  ,                    675                  ,2013
Lions,                    33                  ,                    835                  ,                    214                  ,                    684                  ,2013
Falcons,                    32                  ,                    960                  ,                    305                  ,                    680                  ,2013
Texans,                    32                  ,                    874                  ,                    208                  ,                    702                  ,2013
Bears,                    31                  ,                    907                  ,                    213                  ,                    741                  ,2013
Jaguars,                    31                  ,                    951                  ,                    204                  ,                    824                  ,2013
Bills,                    54                  ,                    990                  ,                    281                  ,                    648                  ,2014
Ravens,                    49                  ,                    987                  ,                    361                  ,                    668                  ,2014
Eagles,                    49                  ,                    944                  ,                    192                  ,                    824                  ,2014
Giants,                    47                  ,                    978                  ,                    256                  ,                    651                  ,2014
Chiefs,                    46                  ,                    872                  ,                    147                  ,                    778                  ,2014
Jaguars,                    45                  ,                    1034                  ,                    309                  ,                    781                  ,2014
Jets,                    45                  ,                    961                  ,                    316                  ,                    602                  ,2014
Lions,                    42                  ,                    854                  ,                    194                  ,                    706                  ,2014
Broncos,                    41                  ,                    875                  ,                    182                  ,                    718                  ,2014
Packers,                    41                  ,                    957                  ,                    257                  ,                    699                  ,2014
Colts,                    41                  ,                    893                  ,                    253                  ,                    684                  ,2014
Vikings,                    41                  ,                    950                  ,                    252                  ,                    750                  ,2014
Panthers,                    40                  ,                    929                  ,                    307                  ,                    668                  ,2014
Rams,                    40                  ,                    931                  ,                    166                  ,                    755                  ,2014
Patriots,                    40                  ,                    957                  ,                    302                  ,                    670                  ,2014
Bears,                    39                  ,                    934                  ,                    275                  ,                    719                  ,2014
Titans,                    39                  ,                    998                  ,                    273                  ,                    803                  ,2014
Dolphins,                    39                  ,                    910                  ,                    193                  ,                    769                  ,2014
Texans,                    38                  ,                    974                  ,                    292                  ,                    688                  ,2014
Seahawks,                    37                  ,                    853                  ,                    249                  ,                    630                  ,2014
Niners,                    36                  ,                    844                  ,                    170                  ,                    704                  ,2014
Buccaneers,                    36                  ,                    1057                  ,                    288                  ,                    743                  ,2014
Redskins,                    36                  ,                    937                  ,                    265                  ,                    674                  ,2014
Cardinals,                    35                  ,                    865                  ,                    152                  ,                    745                  ,2014
Saints,                    34                  ,                    915                  ,                    253                  ,                    726                  ,2014
Steelers,                    33                  ,                    887                  ,                    276                  ,                    629                  ,2014
Browns,                    31                  ,                    1049                  ,                    398                  ,                    700                  ,2014
Cowboys,                    28                  ,                    901                  ,                    232                  ,                    693                  ,2014
Chargers,                    26                  ,                    952                  ,                    241                  ,                    662                  ,2014
Falcons,                    22                  ,                    973                  ,                    322                  ,                    683                  ,2014
Raiders,                    22                  ,                    948                  ,                    226                  ,                    752                  ,2014
Bengals,                    20                  ,                    990                  ,                    387                  ,                    673                  ,2014
Broncos,                    52                  ,                    897                  ,                    206                  ,                    746                  ,2015
Patriots,                    49                  ,                    962                  ,                    291                  ,                    674                  ,2015
Steelers,                    48                  ,                    969                  ,                    268                  ,                    719                  ,2015
Chiefs,                    47                  ,                    846                  ,                    157                  ,                    736                  ,2015
Texans,                    45                  ,                    891                  ,                    270                  ,                    654                  ,2015
Panthers,                    44                  ,                    950                  ,                    319                  ,                    671                  ,2015
Lions,                    43                  ,                    912                  ,                    204                  ,                    763                  ,2015
Packers,                    43                  ,                    880                  ,                    212                  ,                    719                  ,2015
Vikings,                    43                  ,                    921                  ,                    179                  ,                    727                  ,2015
Bengals,                    42                  ,                    922                  ,                    265                  ,                    705                  ,2015
Rams,                    41                  ,                    1039                  ,                    315                  ,                    778                  ,2015
Titans,                    39                  ,                    920                  ,                    275                  ,                    723                  ,2015
Jets,                    39                  ,                    903                  ,                    298                  ,                    649                  ,2015
Raiders,                    38                  ,                    927                  ,                    186                  ,                    779                  ,2015
Buccaneers,                    38                  ,                    1061                  ,                    326                  ,                    705                  ,2015
Redskins,                    38                  ,                    976                  ,                    353                  ,                    616                  ,2015
Ravens,                    37                  ,                    917                  ,                    286                  ,                    675                  ,2015
Eagles,                    37                  ,                    1015                  ,                    255                  ,                    818                  ,2015
Seahawks,                    37                  ,                    878                  ,                    314                  ,                    623                  ,2015
Jaguars,                    36                  ,                    980                  ,                    235                  ,                    805                  ,2015
Cardinals,                    36                  ,                    811                  ,                    141                  ,                    729                  ,2015
Bears,                    35                  ,                    850                  ,                    165                  ,                    726                  ,2015
Colts,                    35                  ,                    975                  ,                    315                  ,                    695                  ,2015
Chargers,                    32                  ,                    892                  ,                    197                  ,                    672                  ,2015
Cowboys,                    31                  ,                    984                  ,                    310                  ,                    655                  ,2015
Dolphins,                    31                  ,                    987                  ,                    250                  ,                    777                  ,2015
Saints,                    31                  ,                    929                  ,                    284                  ,                    689                  ,2015
Browns,                    29                  ,                    924                  ,                    296                  ,                    706                  ,2015
Niners,                    28                  ,                    1036                  ,                    237                  ,                    773                  ,2015
Giants,                    23                  ,                    1094                  ,                    300                  ,                    680                  ,2015
Bills,                    21                  ,                    885                  ,                    232                  ,                    645                  ,2015
Falcons,                    19                  ,                    910                  ,                    231                  ,                    703                  ,2015
Cardinals,                    48                  ,                    891                  ,                    186                  ,                    758                  ,2016
Panthers,                    47                  ,                    970                  ,                    316                  ,                    707                  ,2016
Broncos,                    42                  ,                    951                  ,                    248                  ,                    742                  ,2016
Seahawks,                    42                  ,                    1009                  ,                    424                  ,                    625                  ,2016
Vikings,                    41                  ,                    904                  ,                    304                  ,                    663                  ,2016
Packers,                    40                  ,                    875                  ,                    200                  ,                    683                  ,2016
Titans,                    40                  ,                    862                  ,                    201                  ,                    691                  ,2016
Bills,                    39                  ,                    997                  ,                    315                  ,                    636                  ,2016
Steelers,                    38                  ,                    938                  ,                    261                  ,                    637                  ,2016
Buccaneers,                    38                  ,                    908                  ,                    182                  ,                    717                  ,2016
Redskins,                    38                  ,                    1004                  ,                    294                  ,                    682                  ,2016
Bears,                    37                  ,                    916                  ,                    200                  ,                    740                  ,2016
Cowboys,                    36                  ,                    945                  ,                    283                  ,                    664                  ,2016
Giants,                    35                  ,                    1013                  ,                    286                  ,                    622                  ,2016
Chargers,                    35                  ,                    917                  ,                    209                  ,                    699                  ,2016
Falcons,                    34                  ,                    945                  ,                    275                  ,                    685                  ,2016
Patriots,                    34                  ,                    927                  ,                    338                  ,                    632                  ,2016
Eagles,                    34                  ,                    858                  ,                    234                  ,                    667                  ,2016
Bengals,                    33                  ,                    966                  ,                    321                  ,                    681                  ,2016
Colts,                    33                  ,                    906                  ,                    231                  ,                    727                  ,2016
Jaguars,                    33                  ,                    891                  ,                    173                  ,                    756                  ,2016
Dolphins,                    33                  ,                    1033                  ,                    364                  ,                    697                  ,2016
49ers,                    33                  ,                    1018                  ,                    254                  ,                    779                  ,2016
Ravens,                    31                  ,                    910                  ,                    297                  ,                    662                  ,2016
Texans,                    31                  ,                    870                  ,                    271                  ,                    660                  ,2016
Rams,                    31                  ,                    915                  ,                    215                  ,                    744                  ,2016
Saints,                    30                  ,                    907                  ,                    244                  ,                    690                  ,2016
Chiefs,                    28                  ,                    884                  ,                    170                  ,                    758                  ,2016
