Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,year
Lions,                    198                  ,                    77                  ,                    12                  ,                    5                  ,                    187                  ,                    56.7                  ,                    98                  ,                    22.1                  ,                    1005                  ,2010
Falcons,                    201                  ,                    79                  ,                    17                  ,                    9                  ,                    183                  ,                    50.3                  ,                    87                  ,                    23.8                  ,                    957                  ,2010
Rams,                    221                  ,                    74                  ,                    12                  ,                    6                  ,                    191                  ,                    58.2                  ,                    88                  ,                    21.8                  ,                    1017                  ,2010
Jets,                    219                  ,                    81                  ,                    6                  ,                    4                  ,                    169                  ,                    62.8                  ,                    70                  ,                    17.2                  ,                    979                  ,2010
Dolphins,                    226                  ,                    84                  ,                    22                  ,                    8                  ,                    166                  ,                    57.6                  ,                    84                  ,                    18.8                  ,                    988                  ,2010
Panthers,                    213                  ,                    81                  ,                    9                  ,                    4                  ,                    176                  ,                    54                  ,                    121                  ,                    24.1                  ,                    1060                  ,2010
Chiefs,                    223                  ,                    84                  ,                    20                  ,                    7                  ,                    186                  ,                    58.3                  ,                    88                  ,                    21.6                  ,                    1028                  ,2010
Bengals,                    198                  ,                    75                  ,                    7                  ,                    2                  ,                    170                  ,                    52.2                  ,                    97                  ,                    23.3                  ,                    957                  ,2010
Raiders,                    218                  ,                    76                  ,                    11                  ,                    3                  ,                    150                  ,                    60.2                  ,                    98                  ,                    20.7                  ,                    991                  ,2010
Steelers,                    209                  ,                    70                  ,                    16                  ,                    10                  ,                    182                  ,                    50.1                  ,                    61                  ,                    18.3                  ,                    974                  ,2010
Saints,                    203                  ,                    70                  ,                    23                  ,                    15                  ,                    150                  ,                    49                  ,                    94                  ,                    22.3                  ,                    948                  ,2010
Eagles,                    209                  ,                    80                  ,                    12                  ,                    5                  ,                    185                  ,                    59.9                  ,                    91                  ,                    21.5                  ,                    998                  ,2010
Seahawks,                    238                  ,                    94                  ,                    19                  ,                    8                  ,                    206                  ,                    60.8                  ,                    91                  ,                    20.1                  ,                    1074                  ,2010
Niners,                    217                  ,                    84                  ,                    13                  ,                    3                  ,                    188                  ,                    52.5                  ,                    86                  ,                    19.2                  ,                    1033                  ,2010
Bills,                    227                  ,                    98                  ,                    10                  ,                    7                  ,                    179                  ,                    60.9                  ,                    138                  ,                    24.2                  ,                    1071                  ,2010
Cowboys,                    204                  ,                    81                  ,                    9                  ,                    4                  ,                    200                  ,                    57.5                  ,                    84                  ,                    20.9                  ,                    977                  ,2010
Buccaneers,                    213                  ,                    92                  ,                    17                  ,                    9                  ,                    171                  ,                    55.7                  ,                    118                  ,                    26.6                  ,                    991                  ,2010
Ravens,                    229                  ,                    87                  ,                    12                  ,                    6                  ,                    187                  ,                    53.6                  ,                    79                  ,                    20.6                  ,                    1007                  ,2010
Cardinals,                    233                  ,                    87                  ,                    17                  ,                    9                  ,                    178                  ,                    54.9                  ,                    123                  ,                    23.4                  ,                    1092                  ,2010
Redskins,                    214                  ,                    75                  ,                    10                  ,                    7                  ,                    207                  ,                    56.4                  ,                    106                  ,                    23.9                  ,                    1051                  ,2010
Broncos,                    209                  ,                    80                  ,                    16                  ,                    10                  ,                    184                  ,                    62                  ,                    126                  ,                    23.7                  ,                    1056                  ,2010
Giants,                    208                  ,                    66                  ,                    17                  ,                    9                  ,                    159                  ,                    51.6                  ,                    88                  ,                    22.6                  ,                    974                  ,2010
Packers,                    213                  ,                    77                  ,                    20                  ,                    6                  ,                    163                  ,                    55.1                  ,                    82                  ,                    20.8                  ,                    969                  ,2010
Vikings,                    213                  ,                    87                  ,                    10                  ,                    5                  ,                    178                  ,                    53.4                  ,                    87                  ,                    20.9                  ,                    977                  ,2010
Chargers,                    208                  ,                    70                  ,                    28                  ,                    12                  ,                    153                  ,                    53.7                  ,                    77                  ,                    19.1                  ,                    939                  ,2010
Titans,                    242                  ,                    104                  ,                    22                  ,                    9                  ,                    214                  ,                    52.2                  ,                    107                  ,                    22.6                  ,                    1139                  ,2010
Colts,                    200                  ,                    78                  ,                    18                  ,                    8                  ,                    190                  ,                    53.4                  ,                    111                  ,                    24.9                  ,                    1010                  ,2010
Jaguars,                    189                  ,                    78                  ,                    18                  ,                    8                  ,                    197                  ,                    59.9                  ,                    98                  ,                    23.6                  ,                    948                  ,2010
Browns,                    224                  ,                    96                  ,                    15                  ,                    11                  ,                    195                  ,                    63.1                  ,                    102                  ,                    20.2                  ,                    1041                  ,2010
Patriots,                    210                  ,                    99                  ,                    20                  ,                    12                  ,                    226                  ,                    58.2                  ,                    99                  ,                    24.2                  ,                    1056                  ,2010
Bears,                    216                  ,                    75                  ,                    13                  ,                    6                  ,                    183                  ,                    50.4                  ,                    88                  ,                    22.8                  ,                    1002                  ,2010
Texans,                    195                  ,                    77                  ,                    13                  ,                    11                  ,                    211                  ,                    59.6                  ,                    113                  ,                    26.1                  ,                    1010                  ,2010
Jaguars,                    218                  ,                    79                  ,                    9                  ,                    4                  ,                    175                  ,                    53.7                  ,                    73                  ,                    16.8                  ,                    979                  ,2011
Browns,                    230                  ,                    95                  ,                    14                  ,                    6                  ,                    149                  ,                    56.2                  ,                    124                  ,                    23.2                  ,                    1035                  ,2011
Ravens,                    221                  ,                    71                  ,                    21                  ,                    10                  ,                    166                  ,                    57.6                  ,                    79                  ,                    18.8                  ,                    1002                  ,2011
Rams,                    216                  ,                    83                  ,                    8                  ,                    5                  ,                    166                  ,                    56.7                  ,                    122                  ,                    23.9                  ,                    1033                  ,2011
Seahawks,                    221                  ,                    77                  ,                    11                  ,                    7                  ,                    174                  ,                    53.7                  ,                    96                  ,                    20.3                  ,                    1049                  ,2011
Chiefs,                    210                  ,                    72                  ,                    16                  ,                    7                  ,                    169                  ,                    65.8                  ,                    96                  ,                    18.9                  ,                    991                  ,2011
Falcons,                    211                  ,                    93                  ,                    11                  ,                    6                  ,                    186                  ,                    54.7                  ,                    87                  ,                    23.4                  ,                    965                  ,2011
Texans,                    212                  ,                    76                  ,                    13                  ,                    6                  ,                    166                  ,                    59.5                  ,                    73                  ,                    19.3                  ,                    960                  ,2011
Niners,                    216                  ,                    76                  ,                    17                  ,                    7                  ,                    190                  ,                    57.1                  ,                    53                  ,                    15                  ,                    974                  ,2011
Bengals,                    220                  ,                    78                  ,                    11                  ,                    4                  ,                    170                  ,                    53.3                  ,                    94                  ,                    22.1                  ,                    1009                  ,2011
Redskins,                    206                  ,                    77                  ,                    10                  ,                    4                  ,                    180                  ,                    58.4                  ,                    95                  ,                    21.7                  ,                    988                  ,2011
Titans,                    236                  ,                    96                  ,                    20                  ,                    8                  ,                    187                  ,                    50.7                  ,                    111                  ,                    24.1                  ,                    1080                  ,2011
Vikings,                    208                  ,                    92                  ,                    9                  ,                    5                  ,                    213                  ,                    58                  ,                    92                  ,                    21                  ,                    1027                  ,2011
Broncos,                    218                  ,                    73                  ,                    9                  ,                    3                  ,                    182                  ,                    54.6                  ,                    101                  ,                    20.7                  ,                    1063                  ,2011
Colts,                    216                  ,                    98                  ,                    6                  ,                    3                  ,                    193                  ,                    55                  ,                    136                  ,                    25.2                  ,                    1062                  ,2011
Jets,                    211                  ,                    69                  ,                    10                  ,                    1                  ,                    167                  ,                    60.7                  ,                    83                  ,                    18.4                  ,                    993                  ,2011
