Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,year
Colts,                    535                  ,                    356                  ,                    66.5                  ,                    6.8                  ,                    3627                  ,                    22                  ,                    10                  ,                    91.7                  ,                    190                  ,                    35.5                  ,                    40                  ,                    4                  ,                    61                  ,                    30                  ,2010
Saints,                    494                  ,                    306                  ,                    61.9                  ,                    6.8                  ,                    3353                  ,                    13                  ,                    9                  ,                    83.2                  ,                    150                  ,                    30.4                  ,                    42                  ,                    7                  ,                    68                  ,                    33                  ,2010
Lions,                    518                  ,                    330                  ,                    63.7                  ,                    7.3                  ,                    3786                  ,                    23                  ,                    14                  ,                    89.2                  ,                    187                  ,                    36.1                  ,                    43                  ,                    9                  ,                    89T                  ,                    44                  ,2010
Redskins,                    578                  ,                    367                  ,                    63.5                  ,                    7.6                  ,                    4363                  ,                    23                  ,                    14                  ,                    89.6                  ,                    207                  ,                    35.8                  ,                    57                  ,                    10                  ,                    92T                  ,                    29                  ,2010
Bengals,                    514                  ,                    326                  ,                    63.4                  ,                    7.1                  ,                    3648                  ,                    21                  ,                    16                  ,                    85.2                  ,                    170                  ,                    33.1                  ,                    47                  ,                    10                  ,                    54                  ,                    27                  ,2010
Rams,                    570                  ,                    328                  ,                    57.5                  ,                    6.8                  ,                    3868                  ,                    21                  ,                    14                  ,                    80.4                  ,                    191                  ,                    33.5                  ,                    51                  ,                    5                  ,                    65                  ,                    43                  ,2010
Broncos,                    502                  ,                    297                  ,                    59.2                  ,                    7.8                  ,                    3936                  ,                    26                  ,                    10                  ,                    93                  ,                    184                  ,                    36.6                  ,                    62                  ,                    12                  ,                    73T                  ,                    23                  ,2010
Falcons,                    560                  ,                    364                  ,                    65                  ,                    6.9                  ,                    3846                  ,                    23                  ,                    22                  ,                    82.2                  ,                    183                  ,                    32.7                  ,                    38                  ,                    6                  ,                    83T                  ,                    31                  ,2010
Cowboys,                    540                  ,                    348                  ,                    64.4                  ,                    7.7                  ,                    4151                  ,                    33                  ,                    20                  ,                    92.8                  ,                    200                  ,                    37                  ,                    57                  ,                    13                  ,                    91T                  ,                    35                  ,2010
Texans,                    547                  ,                    354                  ,                    64.7                  ,                    8.2                  ,                    4499                  ,                    33                  ,                    13                  ,                    100.5                  ,                    211                  ,                    38.6                  ,                    56                  ,                    18                  ,                    73T                  ,                    30                  ,2010
Eagles,                    536                  ,                    309                  ,                    57.6                  ,                    7                  ,                    3761                  ,                    31                  ,                    23                  ,                    80.8                  ,                    185                  ,                    34.5                  ,                    54                  ,                    9                  ,                    80T                  ,                    39                  ,2010
Cardinals,                    533                  ,                    324                  ,                    60.8                  ,                    7.3                  ,                    3881                  ,                    22                  ,                    17                  ,                    83.6                  ,                    178                  ,                    33.4                  ,                    55                  ,                    7                  ,                    70                  ,                    33                  ,2010
Dolphins,                    502                  ,                    288                  ,                    57.4                  ,                    7.1                  ,                    3573                  ,                    22                  ,                    11                  ,                    85                  ,                    166                  ,                    33.1                  ,                    50                  ,                    11                  ,                    86T                  ,                    39                  ,2010
Chargers,                    488                  ,                    285                  ,                    58.4                  ,                    6.4                  ,                    3135                  ,                    18                  ,                    16                  ,                    76.2                  ,                    153                  ,                    31.4                  ,                    36                  ,                    5                  ,                    71T                  ,                    47                  ,2010
Seahawks,                    585                  ,                    339                  ,                    58                  ,                    7.2                  ,                    4240                  ,                    31                  ,                    12                  ,                    89.7                  ,                    206                  ,                    35.2                  ,                    60                  ,                    11                  ,                    69T                  ,                    37                  ,2010
Packers,                    527                  ,                    296                  ,                    56.2                  ,                    6.5                  ,                    3440                  ,                    16                  ,                    24                  ,                    67.2                  ,                    163                  ,                    30.9                  ,                    44                  ,                    8                  ,                    85T                  ,                    47                  ,2010
Giants,                    539                  ,                    308                  ,                    57.1                  ,                    6.8                  ,                    3668                  ,                    24                  ,                    16                  ,                    80.5                  ,                    159                  ,                    29.5                  ,                    44                  ,                    10                  ,                    87T                  ,                    46                  ,2010
Jets,                    531                  ,                    269                  ,                    50.7                  ,                    6.5                  ,                    3454                  ,                    24                  ,                    12                  ,                    77                  ,                    169                  ,                    31.8                  ,                    48                  ,                    5                  ,                    50                  ,                    40                  ,2010
Bills,                    473                  ,                    294                  ,                    62.2                  ,                    6.9                  ,                    3253                  ,                    28                  ,                    11                  ,                    92.6                  ,                    179                  ,                    37.8                  ,                    38                  ,                    4                  ,                    52T                  ,                    27                  ,2010
Patriots,                    611                  ,                    388                  ,                    63.5                  ,                    7.1                  ,                    4348                  ,                    25                  ,                    25                  ,                    81.2                  ,                    226                  ,                    37                  ,                    55                  ,                    4                  ,                    66T                  ,                    36                  ,2010
Vikings,                    529                  ,                    333                  ,                    63                  ,                    6.7                  ,                    3544                  ,                    25                  ,                    15                  ,                    86.4                  ,                    178                  ,                    33.6                  ,                    39                  ,                    7                  ,                    67T                  ,                    31                  ,2010
Niners,                    550                  ,                    358                  ,                    65.1                  ,                    7.2                  ,                    3941                  ,                    25                  ,                    15                  ,                    90                  ,                    188                  ,                    34.2                  ,                    48                  ,                    11                  ,                    71                  ,                    36                  ,2010
