Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,year
Colts,                    356                  ,                    3627                  ,                    10.2                  ,                    22                  ,                    40                  ,                    4                  ,                    61                  ,                    190                  ,                    53.4                  ,                    5                  ,                    55                  ,2010
Saints,                    306                  ,                    3353                  ,                    11                  ,                    13                  ,                    42                  ,                    7                  ,                    68                  ,                    150                  ,                    49                  ,                    10                  ,                    69                  ,2010
Lions,                    330                  ,                    3786                  ,                    11.5                  ,                    23                  ,                    43                  ,                    9                  ,                    89T                  ,                    187                  ,                    56.7                  ,                    8                  ,                    66                  ,2010
Cowboys,                    348                  ,                    4151                  ,                    11.9                  ,                    33                  ,                    57                  ,                    13                  ,                    91T                  ,                    200                  ,                    57.5                  ,                    3                  ,                    63                  ,2010
Bengals,                    326                  ,                    3648                  ,                    11.2                  ,                    21                  ,                    47                  ,                    10                  ,                    54                  ,                    170                  ,                    52.2                  ,                    5                  ,                    69                  ,2010
Texans,                    354                  ,                    4499                  ,                    12.7                  ,                    33                  ,                    56                  ,                    18                  ,                    73T                  ,                    211                  ,                    59.6                  ,                    3                  ,                    59                  ,2010
Falcons,                    364                  ,                    3846                  ,                    10.6                  ,                    23                  ,                    38                  ,                    6                  ,                    83T                  ,                    183                  ,                    50.3                  ,                    4                  ,                    71                  ,2010
Chargers,                    285                  ,                    3135                  ,                    11                  ,                    18                  ,                    36                  ,                    5                  ,                    71T                  ,                    153                  ,                    53.7                  ,                    5                  ,                    68                  ,2010
Rams,                    328                  ,                    3868                  ,                    11.8                  ,                    21                  ,                    51                  ,                    5                  ,                    65                  ,                    191                  ,                    58.2                  ,                    5                  ,                    81                  ,2010
Packers,                    296                  ,                    3440                  ,                    11.6                  ,                    16                  ,                    44                  ,                    8                  ,                    85T                  ,                    163                  ,                    55.1                  ,                    5                  ,                    89                  ,2010
Redskins,                    367                  ,                    4363                  ,                    11.9                  ,                    23                  ,                    57                  ,                    10                  ,                    92T                  ,                    207                  ,                    56.4                  ,                    6                  ,                    91                  ,2010
Eagles,                    309                  ,                    3761                  ,                    12.2                  ,                    31                  ,                    54                  ,                    9                  ,                    80T                  ,                    185                  ,                    59.9                  ,                    2                  ,                    94                  ,2010
Giants,                    308                  ,                    3668                  ,                    11.9                  ,                    24                  ,                    44                  ,                    10                  ,                    87T                  ,                    159                  ,                    51.6                  ,                    9                  ,                    87                  ,2010
Dolphins,                    288                  ,                    3573                  ,                    12.4                  ,                    22                  ,                    50                  ,                    11                  ,                    86T                  ,                    166                  ,                    57.6                  ,                    1                  ,                    82                  ,2010
Broncos,                    297                  ,                    3936                  ,                    13.2                  ,                    26                  ,                    62                  ,                    12                  ,                    73T                  ,                    184                  ,                    62                  ,                    1                  ,                    77                  ,2010
Patriots,                    388                  ,                    4348                  ,                    11.2                  ,                    25                  ,                    55                  ,                    4                  ,                    66T                  ,                    226                  ,                    58.2                  ,                    3                  ,                    80                  ,2010
Seahawks,                    339                  ,                    4240                  ,                    12.5                  ,                    31                  ,                    60                  ,                    11                  ,                    69T                  ,                    206                  ,                    60.8                  ,                    4                  ,                    86                  ,2010
Ravens,                    349                  ,                    3789                  ,                    10.9                  ,                    22                  ,                    52                  ,                    5                  ,                    88T                  ,                    187                  ,                    53.6                  ,                    7                  ,                    83                  ,2010
Buccaneers,                    307                  ,                    3359                  ,                    10.9                  ,                    23                  ,                    37                  ,                    9                  ,                    65T                  ,                    171                  ,                    55.7                  ,                    2                  ,                    73                  ,2010
Vikings,                    333                  ,                    3544                  ,                    10.6                  ,                    25                  ,                    39                  ,                    7                  ,                    67T                  ,                    178                  ,                    53.4                  ,                    3                  ,                    64                  ,2010
Steelers,                    363                  ,                    3744                  ,                    10.3                  ,                    15                  ,                    35                  ,                    7                  ,                    67                  ,                    182                  ,                    50.1                  ,                    4                  ,                    91                  ,2010
Bills,                    294                  ,                    3253                  ,                    11.1                  ,                    28                  ,                    38                  ,                    4                  ,                    52T                  ,                    179                  ,                    60.9                  ,                    4                  ,                    80                  ,2010
Browns,                    309                  ,                    3709                  ,                    12                  ,                    26                  ,                    49                  ,                    8                  ,                    78T                  ,                    195                  ,                    63.1                  ,                    1                  ,                    81                  ,2010
Jaguars,                    329                  ,                    4193                  ,                    12.7                  ,                    28                  ,                    58                  ,                    13                  ,                    67T                  ,                    197                  ,                    59.9                  ,                    4                  ,                    50                  ,2010
