Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Chiefs,                    408                  ,                    1764                  ,                    4.3                  ,                    11                  ,                    10                  ,                    0                  ,                    38T                  ,                    88                  ,                    21.6                  ,                    9                  ,2010
Jets,                    408                  ,                    1454                  ,                    3.6                  ,                    11                  ,                    8                  ,                    0                  ,                    32                  ,                    70                  ,                    17.2                  ,                    12                  ,2010
Jaguars,                    416                  ,                    1945                  ,                    4.7                  ,                    19                  ,                    14                  ,                    5                  ,                    70                  ,                    98                  ,                    23.6                  ,                    4                  ,2010
Raiders,                    474                  ,                    2138                  ,                    4.5                  ,                    14                  ,                    17                  ,                    7                  ,                    76T                  ,                    98                  ,                    20.7                  ,                    6                  ,2010
Falcons,                    366                  ,                    1694                  ,                    4.6                  ,                    9                  ,                    10                  ,                    5                  ,                    80T                  ,                    87                  ,                    23.8                  ,                    8                  ,2010
Ravens,                    384                  ,                    1503                  ,                    3.9                  ,                    5                  ,                    6                  ,                    2                  ,                    48                  ,                    79                  ,                    20.6                  ,                    10                  ,2010
Giants,                    389                  ,                    1620                  ,                    4.2                  ,                    11                  ,                    12                  ,                    3                  ,                    50T                  ,                    88                  ,                    22.6                  ,                    5                  ,2010
Steelers,                    333                  ,                    1004                  ,                    3                  ,                    5                  ,                    1                  ,                    0                  ,                    24                  ,                    61                  ,                    18.3                  ,                    5                  ,2010
Chargers,                    404                  ,                    1500                  ,                    3.7                  ,                    14                  ,                    7                  ,                    1                  ,                    56T                  ,                    77                  ,                    19.1                  ,                    2                  ,2010
Patriots,                    409                  ,                    1728                  ,                    4.2                  ,                    10                  ,                    6                  ,                    0                  ,                    36                  ,                    99                  ,                    24.2                  ,                    9                  ,2010
Dolphins,                    447                  ,                    1601                  ,                    3.6                  ,                    8                  ,                    4                  ,                    0                  ,                    30                  ,                    84                  ,                    18.8                  ,                    4                  ,2010
Vikings,                    417                  ,                    1635                  ,                    3.9                  ,                    10                  ,                    10                  ,                    3                  ,                    73                  ,                    87                  ,                    20.9                  ,                    7                  ,2010
Buccaneers,                    444                  ,                    2107                  ,                    4.8                  ,                    12                  ,                    14                  ,                    1                  ,                    54                  ,                    118                  ,                    26.6                  ,                    7                  ,2010
Rams,                    404                  ,                    1810                  ,                    4.5                  ,                    7                  ,                    15                  ,                    1                  ,                    80                  ,                    88                  ,                    21.8                  ,                    5                  ,2010
Panthers,                    503                  ,                    1981                  ,                    3.9                  ,                    20                  ,                    11                  ,                    3                  ,                    68T                  ,                    121                  ,                    24.1                  ,                    9                  ,2010
Bengals,                    416                  ,                    1843                  ,                    4.4                  ,                    15                  ,                    17                  ,                    3                  ,                    61                  ,                    97                  ,                    23.3                  ,                    8                  ,2010
Cowboys,                    402                  ,                    1734                  ,                    4.3                  ,                    11                  ,                    12                  ,                    2                  ,                    56                  ,                    84                  ,                    20.9                  ,                    9                  ,2010
Eagles,                    423                  ,                    1766                  ,                    4.2                  ,                    12                  ,                    9                  ,                    1                  ,                    61                  ,                    91                  ,                    21.5                  ,                    7                  ,2010
Texans,                    433                  ,                    1751                  ,                    4                  ,                    16                  ,                    6                  ,                    1                  ,                    42                  ,                    113                  ,                    26.1                  ,                    5                  ,2010
Packers,                    395                  ,                    1838                  ,                    4.6                  ,                    6                  ,                    10                  ,                    1                  ,                    40                  ,                    82                  ,                    20.8                  ,                    6                  ,2010
Bears,                    386                  ,                    1441                  ,                    3.7                  ,                    14                  ,                    13                  ,                    1                  ,                    45                  ,                    88                  ,                    22.8                  ,                    15                  ,2010
Browns,                    505                  ,                    2070                  ,                    4.1                  ,                    7                  ,                    10                  ,                    1                  ,                    55                  ,                    102                  ,                    20.2                  ,                    4                  ,2010
Titans,                    474                  ,                    1851                  ,                    3.9                  ,                    7                  ,                    11                  ,                    0                  ,                    37                  ,                    107                  ,                    22.6                  ,                    11                  ,2010
Lions,                    443                  ,                    1999                  ,                    4.5                  ,                    18                  ,                    11                  ,                    3                  ,                    80T                  ,                    98                  ,                    22.1                  ,                    8                  ,2010
Bills,                    571                  ,                    2714                  ,                    4.8                  ,                    18                  ,                    16                  ,                    2                  ,                    43T                  ,                    138                  ,                    24.2                  ,                    10                  ,2010
Niners,                    447                  ,                    1547                  ,                    3.5                  ,                    9                  ,                    9                  ,                    1                  ,                    43                  ,                    86                  ,                    19.2                  ,                    4                  ,2010
Broncos,                    531                  ,                    2473                  ,                    4.7                  ,                    26                  ,                    22                  ,                    5                  ,                    71T                  ,                    126                  ,                    23.7                  ,                    13                  ,2010
Colts,                    445                  ,                    2032                  ,                    4.6                  ,                    14                  ,                    16                  ,                    3                  ,                    62                  ,                    111                  ,                    24.9                  ,                    7                  ,2010
Seahawks,                    452                  ,                    1903                  ,                    4.2                  ,                    13                  ,                    16                  ,                    3                  ,                    53                  ,                    91                  ,                    20.1                  ,                    7                  ,2010
Saints,                    421                  ,                    1797                  ,                    4.3                  ,                    13                  ,                    13                  ,                    3                  ,                    68                  ,                    94                  ,                    22.3                  ,                    8                  ,2010
Redskins,                    444                  ,                    2041                  ,                    4.6                  ,                    15                  ,                    13                  ,                    4                  ,                    71                  ,                    106                  ,                    23.9                  ,                    7                  ,2010
Cardinals,                    526                  ,                    2323                  ,                    4.4                  ,                    19                  ,                    19                  ,                    1                  ,                    48                  ,                    123                  ,                    23.4                  ,                    10                  ,2010
Broncos,                    488                  ,                    2021                  ,                    4.1                  ,                    11                  ,                    14                  ,                    1                  ,                    47                  ,                    101                  ,                    20.7                  ,                    5                  ,2011
Texans,                    378                  ,                    1536                  ,                    4.1                  ,                    8                  ,                    10                  ,                    1                  ,                    42                  ,                    73                  ,                    19.3                  ,                    8                  ,2011
Niners,                    353                  ,                    1236                  ,                    3.5                  ,                    3                  ,                    4                  ,                    0                  ,                    34                  ,                    53                  ,                    15                  ,                    10                  ,2011
Jaguars,                    435                  ,                    1667                  ,                    3.8                  ,                    14                  ,                    8                  ,                    3                  ,                    68                  ,                    73                  ,                    16.8                  ,                    7                  ,2011
Chiefs,                    508                  ,                    2112                  ,                    4.2                  ,                    14                  ,                    10                  ,                    0                  ,                    35                  ,                    96                  ,                    18.9                  ,                    8                  ,2011
Dolphins,                    412                  ,                    1530                  ,                    3.7                  ,                    8                  ,                    5                  ,                    0                  ,                    24T                  ,                    88                  ,                    21.4                  ,                    9                  ,2011
Raiders,                    430                  ,                    2178                  ,                    5.1                  ,                    15                  ,                    24                  ,                    5                  ,                    60T                  ,                    105                  ,                    24.4                  ,                    3                  ,2011
Ravens,                    419                  ,                    1482                  ,                    3.5                  ,                    10                  ,                    4                  ,                    0                  ,                    25T                  ,                    79                  ,                    18.8                  ,                    10                  ,2011
Bears,                    384                  ,                    1542                  ,                    4                  ,                    10                  ,                    10                  ,                    3                  ,                    88T                  ,                    75                  ,                    19.5                  ,                    9                  ,2011
Bengals,                    425                  ,                    1675                  ,                    3.9                  ,                    14                  ,                    10                  ,                    4                  ,                    70T                  ,                    94                  ,                    22.1                  ,                    8                  ,2011
Falcons,                    372                  ,                    1552                  ,                    4.2                  ,                    10                  ,                    6                  ,                    2                  ,                    74T                  ,                    87                  ,                    23.4                  ,                    5                  ,2011
Eagles,                    414                  ,                    1801                  ,                    4.4                  ,                    11                  ,                    11                  ,                    4                  ,                    61                  ,                    84                  ,                    20.3                  ,                    5                  ,2011
Vikings,                    439                  ,                    1712                  ,                    3.9                  ,                    10                  ,                    10                  ,                    0                  ,                    28                  ,                    92                  ,                    21                  ,                    5                  ,2011
Panthers,                    451                  ,                    2093                  ,                    4.6                  ,                    18                  ,                    15                  ,                    4                  ,                    46                  ,                    110                  ,                    24.4                  ,                    10                  ,2011
Seahawks,                    473                  ,                    1797                  ,                    3.8                  ,                    10                  ,                    8                  ,                    0                  ,                    39                  ,                    96                  ,                    20.3                  ,                    4                  ,2011
Jets,                    451                  ,                    1777                  ,                    3.9                  ,                    17                  ,                    11                  ,                    1                  ,                    70T                  ,                    83                  ,                    18.4                  ,                    10                  ,2011
Patriots,                    405                  ,                    1874                  ,                    4.6                  ,                    13                  ,                    10                  ,                    1                  ,                    41                  ,                    101                  ,                    24.9                  ,                    10                  ,2011
Chargers,                    448                  ,                    1955                  ,                    4.4                  ,                    8                  ,                    15                  ,                    2                  ,                    46                  ,                    102                  ,                    22.8                  ,                    3                  ,2011
Steelers,                    399                  ,                    1597                  ,                    4                  ,                    7                  ,                    9                  ,                    1                  ,                    42T                  ,                    82                  ,                    20.6                  ,                    2                  ,2011
Saints,                    351                  ,                    1738                  ,                    5                  ,                    11                  ,                    14                  ,                    4                  ,                    69T                  ,                    92                  ,                    26.2                  ,                    7                  ,2011
Browns,                    534                  ,                    2359                  ,                    4.4                  ,                    12                  ,                    16                  ,                    1                  ,                    67                  ,                    124                  ,                    23.2                  ,                    6                  ,2011
Giants,                    435                  ,                    1940                  ,                    4.5                  ,                    15                  ,                    11                  ,                    3                  ,                    80T                  ,                    103                  ,                    23.7                  ,                    10                  ,2011
Rams,                    510                  ,                    2433                  ,                    4.8                  ,                    17                  ,                    14                  ,                    7                  ,                    91T                  ,                    122                  ,                    23.9                  ,                    12                  ,2011
Cowboys,                    385                  ,                    1585                  ,                    4.1                  ,                    10                  ,                    7                  ,                    1                  ,                    40                  ,                    78                  ,                    20.3                  ,                    6                  ,2011
Redskins,                    438                  ,                    1884                  ,                    4.3                  ,                    15                  ,                    14                  ,                    3                  ,                    67                  ,                    95                  ,                    21.7                  ,                    5                  ,2011
Packers,                    383                  ,                    1789                  ,                    4.7                  ,                    10                  ,                    9                  ,                    2                  ,                    54T                  ,                    96                  ,                    25.1                  ,                    6                  ,2011
