Team,FR TD,SFTY,INT TD,year
Cardinals,                    4                  ,                    0                  ,                    3                  ,2010
Falcons,                    1                  ,                    0                  ,                    2                  ,2010
Bills,                    1                  ,                    0                  ,                    2                  ,2010
Bengals,                    1                  ,                    0                  ,                    1                  ,2010
Browns,                    1                  ,                    0                  ,                    2                  ,2010
Cowboys,                    1                  ,                    0                  ,                    3                  ,2010
Broncos,                    1                  ,                    0                  ,                    0                  ,2010
Lions,                    1                  ,                    1                  ,                    2                  ,2010
Packers,                    1                  ,                    0                  ,                    3                  ,2010
Colts,                    1                  ,                    0                  ,                    2                  ,2010
Raiders,                    1                  ,                    0                  ,                    2                  ,2010
Dolphins,                    1                  ,                    1                  ,                    0                  ,2010
Vikings,                    1                  ,                    0                  ,                    1                  ,2010
Patriots,                    1                  ,                    0                  ,                    4                  ,2010
Eagles,                    1                  ,                    0                  ,                    1                  ,2010
Redskins,                    1                  ,                    0                  ,                    1                  ,2010
Ravens,                    0                  ,                    0                  ,                    3                  ,2010
Panthers,                    0                  ,                    0                  ,                    1                  ,2010
Bears,                    0                  ,                    0                  ,                    1                  ,2010
Titans,                    0                  ,                    1                  ,                    1                  ,2010
Texans,                    0                  ,                    0                  ,                    0                  ,2010
Jaguars,                    0                  ,                    0                  ,                    0                  ,2010
Chiefs,                    0                  ,                    0                  ,                    3                  ,2010
Rams,                    0                  ,                    0                  ,                    0                  ,2010
Saints,                    0                  ,                    1                  ,                    2                  ,2010
Giants,                    0                  ,                    0                  ,                    0                  ,2010
Jets,                    0                  ,                    0                  ,                    3                  ,2010
Steelers,                    0                  ,                    0                  ,                    3                  ,2010
Chargers,                    0                  ,                    0                  ,                    3                  ,2010
Niners,                    0                  ,                    0                  ,                    3                  ,2010
Seahawks,                    0                  ,                    0                  ,                    2                  ,2010
Buccaneers,                    0                  ,                    0                  ,                    3                  ,2010
Ravens,                    3                  ,                    0                  ,                    1                  ,2011
Jaguars,                    3                  ,                    0                  ,                    0                  ,2011
Eagles,                    3                  ,                    0                  ,                    1                  ,2011
Bills,                    2                  ,                    0                  ,                    4                  ,2011
Bears,                    2                  ,                    0                  ,                    4                  ,2011
Bengals,                    2                  ,                    1                  ,                    1                  ,2011
Lions,                    2                  ,                    1                  ,                    5                  ,2011
Saints,                    2                  ,                    0                  ,                    1                  ,2011
Falcons,                    1                  ,                    0                  ,                    2                  ,2011
Packers,                    1                  ,                    0                  ,                    4                  ,2011
Colts,                    1                  ,                    0                  ,                    2                  ,2011
Raiders,                    1                  ,                    0                  ,                    0                  ,2011
Patriots,                    1                  ,                    0                  ,                    2                  ,2011
Giants,                    1                  ,                    0                  ,                    0                  ,2011
Steelers,                    1                  ,                    2                  ,                    0                  ,2011
Chargers,                    1                  ,                    0                  ,                    1                  ,2011
Buccaneers,                    1                  ,                    0                  ,                    3                  ,2011
Panthers,                    0                  ,                    0                  ,                    0                  ,2011
Browns,                    0                  ,                    0                  ,                    0                  ,2011
Cowboys,                    0                  ,                    0                  ,                    1                  ,2011
Broncos,                    0                  ,                    0                  ,                    3                  ,2011
Titans,                    0                  ,                    0                  ,                    1                  ,2011
Texans,                    0                  ,                    0                  ,                    1                  ,2011
Chiefs,                    0                  ,                    0                  ,                    2                  ,2011
Rams,                    0                  ,                    1                  ,                    1                  ,2011
Dolphins,                    0                  ,                    0                  ,                    1                  ,2011
Vikings,                    0                  ,                    0                  ,                    0                  ,2011
Jets,                    0                  ,                    1                  ,                    2                  ,2011
Cardinals,                    0                  ,                    0                  ,                    0                  ,2011
Niners,                    0                  ,                    0                  ,                    1                  ,2011
Seahawks,                    0                  ,                    0                  ,                    4                  ,2011
Redskins,                    0                  ,                    0                  ,                    1                  ,2011
Patriots,                    3                  ,                    1                  ,                    2                  ,2012
Cowboys,                    2                  ,                    0                  ,                    1                  ,2012
Chargers,                    2                  ,                    0                  ,                    5                  ,2012
Falcons,                    1                  ,                    0                  ,                    1                  ,2012
Bears,                    1                  ,                    0                  ,                    8                  ,2012
Bengals,                    1                  ,                    0                  ,                    2                  ,2012
Broncos,                    1                  ,                    0                  ,                    5                  ,2012
Packers,                    1                  ,                    0                  ,                    1                  ,2012
Titans,                    1                  ,                    1                  ,                    4                  ,2012
Chiefs,                    1                  ,                    0                  ,                    0                  ,2012
Rams,                    1                  ,                    1                  ,                    4                  ,2012
Giants,                    1                  ,                    0                  ,                    1                  ,2012
Jets,                    1                  ,                    1                  ,                    2                  ,2012
Cardinals,                    1                  ,                    0                  ,                    2                  ,2012
Niners,                    1                  ,                    0                  ,                    2                  ,2012
Seahawks,                    1                  ,                    0                  ,                    2                  ,2012
Redskins,                    1                  ,                    0                  ,                    3                  ,2012
Ravens,                    0                  ,                    0                  ,                    2                  ,2012
Bills,                    0                  ,                    0                  ,                    1                  ,2012
Panthers,                    0                  ,                    1                  ,                    3                  ,2012
Browns,                    0                  ,                    0                  ,                    2                  ,2012
Lions,                    0                  ,                    0                  ,                    0                  ,2012
Texans,                    0                  ,                    0                  ,                    3                  ,2012
Colts,                    0                  ,                    0                  ,                    4                  ,2012
Jaguars,                    0                  ,                    0                  ,                    0                  ,2012
Raiders,                    0                  ,                    0                  ,                    0                  ,2012
Dolphins,                    0                  ,                    0                  ,                    0                  ,2012
Vikings,                    0                  ,                    0                  ,                    3                  ,2012
Saints,                    0                  ,                    0                  ,                    4                  ,2012
Eagles,                    0                  ,                    0                  ,                    0                  ,2012
Steelers,                    0                  ,                    0                  ,                    1                  ,2012
Buccaneers,                    0                  ,                    0                  ,                    3                  ,2012
Cowboys,                    3                  ,                    0                  ,                    2                  ,2013
Rams,                    3                  ,                    1                  ,                    2                  ,2013
Niners,                    3                  ,                    1                  ,                    2                  ,2013
Packers,                    2                  ,                    0                  ,                    0                  ,2013
Titans,                    2                  ,                    0                  ,                    1                  ,2013
Chiefs,                    2                  ,                    0                  ,                    5                  ,2013
Raiders,                    2                  ,                    0                  ,                    1                  ,2013
Falcons,                    1                  ,                    0                  ,                    2                  ,2013
Bills,                    1                  ,                    0                  ,                    2                  ,2013
Bears,                    1                  ,                    0                  ,                    5                  ,2013
Bengals,                    1                  ,                    0                  ,                    4                  ,2013
Browns,                    1                  ,                    0                  ,                    3                  ,2013
Broncos,                    1                  ,                    0                  ,                    1                  ,2013
Lions,                    1                  ,                    2                  ,                    1                  ,2013
Jaguars,                    1                  ,                    3                  ,                    1                  ,2013
Vikings,                    1                  ,                    0                  ,                    0                  ,2013
Patriots,                    1                  ,                    0                  ,                    2                  ,2013
Eagles,                    1                  ,                    2                  ,                    1                  ,2013
Cardinals,                    1                  ,                    2                  ,                    4                  ,2013
Seahawks,                    1                  ,                    2                  ,                    3                  ,2013
Redskins,                    1                  ,                    0                  ,                    4                  ,2013
Ravens,                    0                  ,                    0                  ,                    1                  ,2013
Panthers,                    0                  ,                    0                  ,                    4                  ,2013
Texans,                    0                  ,                    1                  ,                    1                  ,2013
Colts,                    0                  ,                    2                  ,                    1                  ,2013
Dolphins,                    0                  ,                    1                  ,                    2                  ,2013
Saints,                    0                  ,                    0                  ,                    0                  ,2013
Giants,                    0                  ,                    0                  ,                    2                  ,2013
Jets,                    0                  ,                    1                  ,                    1                  ,2013
Steelers,                    0                  ,                    1                  ,                    3                  ,2013
Chargers,                    0                  ,                    0                  ,                    1                  ,2013
Buccaneers,                    0                  ,                    1                  ,                    3                  ,2013
Chargers,                    3                  ,                    1                  ,                    0                  ,2014
Jaguars,                    2                  ,                    1                  ,                    1                  ,2014
Patriots,                    2                  ,                    0                  ,                    0                  ,2014
Eagles,                    2                  ,                    0                  ,                    2                  ,2014
Falcons,                    1                  ,                    0                  ,                    1                  ,2014
Bills,                    1                  ,                    1                  ,                    0                  ,2014
Browns,                    1                  ,                    1                  ,                    2                  ,2014
Cowboys,                    1                  ,                    0                  ,                    2                  ,2014
Broncos,                    1                  ,                    1                  ,                    2                  ,2014
Lions,                    1                  ,                    1                  ,                    1                  ,2014
Packers,                    1                  ,                    1                  ,                    3                  ,2014
Titans,                    1                  ,                    1                  ,                    1                  ,2014
Texans,                    1                  ,                    1                  ,                    4                  ,2014
Colts,                    1                  ,                    0                  ,                    1                  ,2014
Raiders,                    1                  ,                    0                  ,                    0                  ,2014
Dolphins,                    1                  ,                    3                  ,                    2                  ,2014
Vikings,                    1                  ,                    0                  ,                    2                  ,2014
Giants,                    1                  ,                    0                  ,                    0                  ,2014
Cardinals,                    1                  ,                    0                  ,                    3                  ,2014
Steelers,                    1                  ,                    1                  ,                    4                  ,2014
Niners,                    1                  ,                    0                  ,                    2                  ,2014
Ravens,                    0                  ,                    1                  ,                    1                  ,2014
Panthers,                    0                  ,                    0                  ,                    2                  ,2014
Bears,                    0                  ,                    0                  ,                    1                  ,2014
Bengals,                    0                  ,                    3                  ,                    1                  ,2014
Chiefs,                    0                  ,                    0                  ,                    1                  ,2014
Rams,                    0                  ,                    0                  ,                    3                  ,2014
Saints,                    0                  ,                    2                  ,                    0                  ,2014
Jets,                    0                  ,                    1                  ,                    0                  ,2014
Seahawks,                    0                  ,                    1                  ,                    2                  ,2014
Buccaneers,                    0                  ,                    0                  ,                    3                  ,2014
Redskins,                    0                  ,                    0                  ,                    0                  ,2014
Seahawks,                    3                  ,                    0                  ,                    0                  ,2015
Falcons,                    2                  ,                    0                  ,                    1                  ,2015
Jaguars,                    2                  ,                    0                  ,                    1                  ,2015
Chiefs,                    2                  ,                    1                  ,                    4                  ,2015
Rams,                    2                  ,                    1                  ,                    1                  ,2015
Patriots,                    2                  ,                    1                  ,                    0                  ,2015
Giants,                    2                  ,                    1                  ,                    2                  ,2015
Cardinals,                    2                  ,                    2                  ,                    4                  ,2015
Buccaneers,                    2                  ,                    0                  ,                    1                  ,2015
Ravens,                    1                  ,                    0                  ,                    1                  ,2015
Bills,                    1                  ,                    1                  ,                    2                  ,2015
Broncos,                    1                  ,                    1                  ,                    4                  ,2015
Lions,                    1                  ,                    2                  ,                    1                  ,2015
Titans,                    1                  ,                    0                  ,                    1                  ,2015
Texans,                    1                  ,                    0                  ,                    2                  ,2015
Colts,                    1                  ,                    1                  ,                    4                  ,2015
Vikings,                    1                  ,                    0                  ,                    2                  ,2015
Saints,                    1                  ,                    0                  ,                    0                  ,2015
Eagles,                    1                  ,                    1                  ,                    3                  ,2015
Redskins,                    1                  ,                    1                  ,                    1                  ,2015
Panthers,                    0                  ,                    0                  ,                    4                  ,2015
Bears,                    0                  ,                    0                  ,                    0                  ,2015
Bengals,                    0                  ,                    0                  ,                    1                  ,2015
Browns,                    0                  ,                    0                  ,                    2                  ,2015
Cowboys,                    0                  ,                    1                  ,                    1                  ,2015
