Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,year
Colts,                    450                  ,                    4700                  ,                    10.4                  ,                    33                  ,                    43                  ,                    9                  ,                    73                  ,                    253                  ,                    56.2                  ,                    3                  ,2010
Saints,                    450                  ,                    4636                  ,                    10.3                  ,                    33                  ,                    47                  ,                    10                  ,                    80T                  ,                    236                  ,                    52.4                  ,                    2                  ,2010
Lions,                    383                  ,                    4001                  ,                    10.4                  ,                    26                  ,                    43                  ,                    6                  ,                    87                  ,                    199                  ,                    52                  ,                    4                  ,2010
Cowboys,                    379                  ,                    4208                  ,                    11.1                  ,                    29                  ,                    57                  ,                    8                  ,                    71                  ,                    201                  ,                    53                  ,                    8                  ,2010
Bengals,                    365                  ,                    3988                  ,                    10.9                  ,                    26                  ,                    45                  ,                    9                  ,                    78                  ,                    206                  ,                    56.4                  ,                    4                  ,2010
Texans,                    365                  ,                    4370                  ,                    12                  ,                    24                  ,                    59                  ,                    9                  ,                    60T                  ,                    222                  ,                    60.8                  ,                    3                  ,2010
Falcons,                    361                  ,                    3725                  ,                    10.3                  ,                    28                  ,                    32                  ,                    6                  ,                    46T                  ,                    200                  ,                    55.4                  ,                    3                  ,2010
Chargers,                    359                  ,                    4746                  ,                    13.2                  ,                    30                  ,                    66                  ,                    14                  ,                    59                  ,                    236                  ,                    65.7                  ,                    5                  ,2010
Rams,                    354                  ,                    3512                  ,                    9.9                  ,                    18                  ,                    36                  ,                    4                  ,                    49                  ,                    179                  ,                    50.6                  ,                    2                  ,2010
Packers,                    352                  ,                    4355                  ,                    12.4                  ,                    31                  ,                    57                  ,                    11                  ,                    86                  ,                    204                  ,                    58                  ,                    9                  ,2010
Redskins,                    349                  ,                    4261                  ,                    12.2                  ,                    21                  ,                    51                  ,                    13                  ,                    76T                  ,                    194                  ,                    55.6                  ,                    8                  ,2010
Eagles,                    348                  ,                    4215                  ,                    12.1                  ,                    28                  ,                    61                  ,                    15                  ,                    91                  ,                    189                  ,                    54.3                  ,                    6                  ,2010
Giants,                    339                  ,                    4002                  ,                    11.8                  ,                    31                  ,                    57                  ,                    7                  ,                    92                  ,                    192                  ,                    56.6                  ,                    3                  ,2010
Dolphins,                    335                  ,                    3755                  ,                    11.2                  ,                    17                  ,                    44                  ,                    4                  ,                    57                  ,                    189                  ,                    56.4                  ,                    3                  ,2010
