Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Chiefs,                    556                  ,                    2627                  ,                    4.7                  ,                    13                  ,                    15                  ,                    4                  ,                    80T                  ,                    129                  ,                    23.2                  ,                    7                  ,2010
Jets,                    534                  ,                    2374                  ,                    4.4                  ,                    14                  ,                    11                  ,                    2                  ,                    53                  ,                    118                  ,                    22.1                  ,                    11                  ,2010
Jaguars,                    512                  ,                    2395                  ,                    4.7                  ,                    14                  ,                    14                  ,                    1                  ,                    74                  ,                    148                  ,                    28.9                  ,                    8                  ,2010
Raiders,                    504                  ,                    2494                  ,                    5                  ,                    19                  ,                    27                  ,                    6                  ,                    71                  ,                    113                  ,                    22.4                  ,                    9                  ,2010
Falcons,                    497                  ,                    1891                  ,                    3.8                  ,                    14                  ,                    12                  ,                    1                  ,                    55                  ,                    111                  ,                    22.3                  ,                    4                  ,2010
Ravens,                    487                  ,                    1831                  ,                    3.8                  ,                    11                  ,                    7                  ,                    1                  ,                    50T                  ,                    97                  ,                    19.9                  ,                    6                  ,2010
Giants,                    480                  ,                    2200                  ,                    4.6                  ,                    17                  ,                    23                  ,                    3                  ,                    73T                  ,                    112                  ,                    23.3                  ,                    12                  ,2010
Steelers,                    471                  ,                    1924                  ,                    4.1                  ,                    15                  ,                    16                  ,                    1                  ,                    50T                  ,                    106                  ,                    22.5                  ,                    9                  ,2010
Chargers,                    457                  ,                    1810                  ,                    4                  ,                    18                  ,                    13                  ,                    0                  ,                    36T                  ,                    94                  ,                    20.6                  ,                    13                  ,2010
Patriots,                    454                  ,                    1973                  ,                    4.4                  ,                    19                  ,                    9                  ,                    0                  ,                    36                  ,                    119                  ,                    26.2                  ,                    2                  ,2010
Dolphins,                    445                  ,                    1643                  ,                    3.7                  ,                    8                  ,                    5                  ,                    2                  ,                    51                  ,                    91                  ,                    20.4                  ,                    12                  ,2010
Vikings,                    441                  ,                    1942                  ,                    4.4                  ,                    16                  ,                    11                  ,                    2                  ,                    80                  ,                    104                  ,                    23.6                  ,                    7                  ,2010
Buccaneers,                    431                  ,                    2001                  ,                    4.6                  ,                    9                  ,                    16                  ,                    5                  ,                    61T                  ,                    97                  ,                    22.5                  ,                    7                  ,2010
Rams,                    429                  ,                    1578                  ,                    3.7                  ,                    9                  ,                    9                  ,                    1                  ,                    42T                  ,                    84                  ,                    19.6                  ,                    2                  ,2010
Panthers,                    428                  ,                    1846                  ,                    4.3                  ,                    7                  ,                    14                  ,                    4                  ,                    60T                  ,                    78                  ,                    18.2                  ,                    16                  ,2010
Bengals,                    428                  ,                    1522                  ,                    3.6                  ,                    8                  ,                    3                  ,                    1                  ,                    42                  ,                    85                  ,                    19.9                  ,                    11                  ,2010
Cowboys,                    428                  ,                    1786                  ,                    4.2                  ,                    10                  ,                    11                  ,                    1                  ,                    60                  ,                    104                  ,                    24.3                  ,                    5                  ,2010
Eagles,                    428                  ,                    2324                  ,                    5.4                  ,                    18                  ,                    19                  ,                    6                  ,                    62                  ,                    116                  ,                    27.1                  ,                    7                  ,2010
Texans,                    423                  ,                    2042                  ,                    4.8                  ,                    20                  ,                    16                  ,                    3                  ,                    74                  ,                    118                  ,                    27.9                  ,                    5                  ,2010
Packers,                    421                  ,                    1606                  ,                    3.8                  ,                    11                  ,                    3                  ,                    1                  ,                    71                  ,                    88                  ,                    20.9                  ,                    4                  ,2010
Bears,                    414                  ,                    1616                  ,                    3.9                  ,                    10                  ,                    11                  ,                    2                  ,                    68T                  ,                    76                  ,                    18.4                  ,                    1                  ,2010
Browns,                    413                  ,                    1646                  ,                    4                  ,                    13                  ,                    7                  ,                    2                  ,                    68T                  ,                    87                  ,                    21.1                  ,                    13                  ,2010
Titans,                    406                  ,                    1727                  ,                    4.2                  ,                    13                  ,                    15                  ,                    5                  ,                    76T                  ,                    73                  ,                    18                  ,                    7                  ,2010
Lions,                    404                  ,                    1613                  ,                    4                  ,                    11                  ,                    9                  ,                    2                  ,                    45                  ,                    83                  ,                    20.5                  ,                    6                  ,2010
Bills,                    401                  ,                    1720                  ,                    4.3                  ,                    6                  ,                    9                  ,                    0                  ,                    39                  ,                    82                  ,                    20.4                  ,                    11                  ,2010
Niners,                    401                  ,                    1657                  ,                    4.1                  ,                    10                  ,                    8                  ,                    1                  ,                    64                  ,                    85                  ,                    21.2                  ,                    6                  ,2010
Broncos,                    398                  ,                    1544                  ,                    3.9                  ,                    13                  ,                    6                  ,                    1                  ,                    40T                  ,                    81                  ,                    20.4                  ,                    12                  ,2010
Colts,                    393                  ,                    1483                  ,                    3.8                  ,                    13                  ,                    7                  ,                    3                  ,                    49                  ,                    87                  ,                    22.1                  ,                    5                  ,2010
Seahawks,                    385                  ,                    1424                  ,                    3.7                  ,                    13                  ,                    12                  ,                    0                  ,                    39T                  ,                    81                  ,                    21                  ,                    3                  ,2010
Saints,                    380                  ,                    1519                  ,                    4                  ,                    9                  ,                    7                  ,                    2                  ,                    55T                  ,                    94                  ,                    24.7                  ,                    7                  ,2010
Redskins,                    351                  ,                    1461                  ,                    4.2                  ,                    9                  ,                    12                  ,                    1                  ,                    54T                  ,                    72                  ,                    20.5                  ,                    6                  ,2010
Cardinals,                    320                  ,                    1388                  ,                    4.3                  ,                    9                  ,                    11                  ,                    2                  ,                    80                  ,                    67                  ,                    20.9                  ,                    7                  ,2010
Broncos,                    546                  ,                    2632                  ,                    4.8                  ,                    11                  ,                    20                  ,                    1                  ,                    60T                  ,                    129                  ,                    23.6                  ,                    11                  ,2011
Texans,                    546                  ,                    2448                  ,                    4.5                  ,                    18                  ,                    13                  ,                    4                  ,                    56                  ,                    131                  ,                    24                  ,                    10                  ,2011
Niners,                    498                  ,                    2044                  ,                    4.1                  ,                    14                  ,                    16                  ,                    4                  ,                    55                  ,                    101                  ,                    20.3                  ,                    5                  ,2011
Jaguars,                    489                  ,                    1970                  ,                    4                  ,                    9                  ,                    10                  ,                    3                  ,                    56                  ,                    103                  ,                    21.1                  ,                    13                  ,2011
Chiefs,                    487                  ,                    1893                  ,                    3.9                  ,                    5                  ,                    13                  ,                    0                  ,                    34T                  ,                    89                  ,                    18.3                  ,                    5                  ,2011
Dolphins,                    469                  ,                    1987                  ,                    4.2                  ,                    11                  ,                    11                  ,                    1                  ,                    76T                  ,                    89                  ,                    19                  ,                    13                  ,2011
Raiders,                    466                  ,                    2110                  ,                    4.5                  ,                    16                  ,                    21                  ,                    4                  ,                    70T                  ,                    110                  ,                    23.6                  ,                    7                  ,2011
Ravens,                    459                  ,                    1996                  ,                    4.4                  ,                    15                  ,                    13                  ,                    5                  ,                    70T                  ,                    98                  ,                    21.4                  ,                    6                  ,2011
