Team,Rsh TD,Rec TD,Tot TD,2-PT,year
Texans,                    20                  ,                    24                  ,                    44                  ,                    1                  ,2010
Raiders,                    19                  ,                    18                  ,                    44                  ,                    0                  ,2010
Patriots,                    19                  ,                    37                  ,                    65                  ,                    0                  ,2010
Eagles,                    18                  ,                    28                  ,                    49                  ,                    1                  ,2010
Chargers,                    18                  ,                    30                  ,                    51                  ,                    2                  ,2010
Giants,                    17                  ,                    31                  ,                    48                  ,                    1                  ,2010
Vikings,                    16                  ,                    14                  ,                    33                  ,                    1                  ,2010
Steelers,                    15                  ,                    22                  ,                    41                  ,                    2                  ,2010
Falcons,                    14                  ,                    28                  ,                    47                  ,                    2                  ,2010
Jaguars,                    14                  ,                    26                  ,                    41                  ,                    0                  ,2010
Jets,                    14                  ,                    20                  ,                    39                  ,                    1                  ,2010
Browns,                    13                  ,                    13                  ,                    29                  ,                    0                  ,2010
Broncos,                    13                  ,                    25                  ,                    40                  ,                    0                  ,2010
Titans,                    13                  ,                    24                  ,                    40                  ,                    1                  ,2010
Colts,                    13                  ,                    33                  ,                    51                  ,                    0                  ,2010
Chiefs,                    13                  ,                    27                  ,                    44                  ,                    0                  ,2010
Seahawks,                    13                  ,                    14                  ,                    33                  ,                    2                  ,2010
Ravens,                    11                  ,                    25                  ,                    40                  ,                    0                  ,2010
Lions,                    11                  ,                    26                  ,                    41                  ,                    2                  ,2010
Packers,                    11                  ,                    31                  ,                    46                  ,                    0                  ,2010
Bears,                    10                  ,                    23                  ,                    37                  ,                    1                  ,2010
Cowboys,                    10                  ,                    29                  ,                    46                  ,                    2                  ,2010
Niners,                    10                  ,                    19                  ,                    34                  ,                    1                  ,2010
Rams,                    9                  ,                    18                  ,                    27                  ,                    0                  ,2010
Saints,                    9                  ,                    33                  ,                    44                  ,                    0                  ,2010
Cardinals,                    9                  ,                    10                  ,                    31                  ,                    1                  ,2010
Buccaneers,                    9                  ,                    26                  ,                    39                  ,                    1                  ,2010
Redskins,                    9                  ,                    21                  ,                    33                  ,                    2                  ,2010
Bengals,                    8                  ,                    26                  ,                    36                  ,                    2                  ,2010
Dolphins,                    8                  ,                    17                  ,                    26                  ,                    0                  ,2010
Panthers,                    7                  ,                    9                  ,                    17                  ,                    0                  ,2010
Bills,                    6                  ,                    24                  ,                    34                  ,                    0                  ,2010
Panthers,                    26                  ,                    21                  ,                    48                  ,                    2                  ,2011
Eagles,                    20                  ,                    22                  ,                    46                  ,                    0                  ,2011
Texans,                    18                  ,                    20                  ,                    41                  ,                    0                  ,2011
Vikings,                    18                  ,                    20                  ,                    39                  ,                    0                  ,2011
Patriots,                    18                  ,                    39                  ,                    61                  ,                    2                  ,2011
Giants,                    17                  ,                    29                  ,                    47                  ,                    4                  ,2011
Raiders,                    16                  ,                    20                  ,                    38                  ,                    0                  ,2011
Saints,                    16                  ,                    46                  ,                    66                  ,                    2                  ,2011
Chargers,                    16                  ,                    27                  ,                    46                  ,                    1                  ,2011
Ravens,                    15                  ,                    21                  ,                    41                  ,                    1                  ,2011
Seahawks,                    15                  ,                    15                  ,                    35                  ,                    0                  ,2011
Falcons,                    14                  ,                    29                  ,                    46                  ,                    0                  ,2011
Jets,                    14                  ,                    26                  ,                    45                  ,                    0                  ,2011
Niners,                    14                  ,                    18                  ,                    35                  ,                    1                  ,2011
Steelers,                    13                  ,                    21                  ,                    36                  ,                    0                  ,2011
Bills,                    12                  ,                    24                  ,                    43                  ,                    1                  ,2011
Packers,                    12                  ,                    51                  ,                    70                  ,                    0                  ,2011
Cardinals,                    12                  ,                    21                  ,                    37                  ,                    0                  ,2011
Broncos,                    11                  ,                    20                  ,                    36                  ,                    3                  ,2011
Dolphins,                    11                  ,                    20                  ,                    33                  ,                    0                  ,2011
Bears,                    10                  ,                    18                  ,                    38                  ,                    1                  ,2011
Bengals,                    10                  ,                    21                  ,                    35                  ,                    0                  ,2011
Lions,                    9                  ,                    41                  ,                    57                  ,                    2                  ,2011
Jaguars,                    9                  ,                    12                  ,                    25                  ,                    0                  ,2011
Buccaneers,                    9                  ,                    17                  ,                    30                  ,                    2                  ,2011
Titans,                    8                  ,                    22                  ,                    34                  ,                    0                  ,2011
Colts,                    8                  ,                    14                  ,                    25                  ,                    0                  ,2011
Redskins,                    8                  ,                    19                  ,                    28                  ,                    1                  ,2011
Rams,                    7                  ,                    9                  ,                    18                  ,                    0                  ,2011
Cowboys,                    5                  ,                    33                  ,                    39                  ,                    0                  ,2011
Chiefs,                    5                  ,                    13                  ,                    20                  ,                    0                  ,2011
Browns,                    4                  ,                    16                  ,                    21                  ,                    0                  ,2011
