Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk,year
Bears,                    17.1                  ,                    33                  ,                    564                  ,                    3                  ,                    9                  ,                    5                  ,                    89T                  ,                    10                  ,                    0                  ,                    0                  ,2010
Cowboys,                    15.9                  ,                    24                  ,                    382                  ,                    3                  ,                    5                  ,                    3                  ,                    97                  ,                    14                  ,                    5                  ,                    0                  ,2010
Patriots,                    13.4                  ,                    27                  ,                    361                  ,                    1                  ,                    5                  ,                    2                  ,                    94T                  ,                    14                  ,                    2                  ,                    1                  ,2010
Titans,                    12.2                  ,                    27                  ,                    329                  ,                    1                  ,                    4                  ,                    1                  ,                    87T                  ,                    17                  ,                    1                  ,                    1                  ,2010
Falcons,                    12.1                  ,                    19                  ,                    230                  ,                    1                  ,                    1                  ,                    1                  ,                    55T                  ,                    19                  ,                    1                  ,                    0                  ,2010
Lions,                    12.1                  ,                    30                  ,                    362                  ,                    0                  ,                    4                  ,                    1                  ,                    71                  ,                    21                  ,                    2                  ,                    0                  ,2010
Niners,                    11.8                  ,                    31                  ,                    366                  ,                    1                  ,                    4                  ,                    2                  ,                    78T                  ,                    25                  ,                    2                  ,                    1                  ,2010
Rams,                    11.3                  ,                    40                  ,                    452                  ,                    0                  ,                    7                  ,                    2                  ,                    42                  ,                    19                  ,                    0                  ,                    1                  ,2010
Seahawks,                    11.1                  ,                    42                  ,                    468                  ,                    0                  ,                    6                  ,                    4                  ,                    84                  ,                    14                  ,                    3                  ,                    1                  ,2010
Redskins,                    10.8                  ,                    40                  ,                    432                  ,                    0                  ,                    6                  ,                    1                  ,                    53                  ,                    13                  ,                    2                  ,                    0                  ,2010
Browns,                    10.7                  ,                    22                  ,                    235                  ,                    0                  ,                    1                  ,                    1                  ,                    62                  ,                    11                  ,                    4                  ,                    0                  ,2010
Eagles,                    10.6                  ,                    38                  ,                    404                  ,                    1                  ,                    4                  ,                    2                  ,                    65T                  ,                    19                  ,                    3                  ,                    0                  ,2010
Bills,                    10.5                  ,                    32                  ,                    336                  ,                    0                  ,                    8                  ,                    0                  ,                    34                  ,                    18                  ,                    4                  ,                    0                  ,2010
Chargers,                    10.5                  ,                    40                  ,                    420                  ,                    0                  ,                    3                  ,                    2                  ,                    62                  ,                    19                  ,                    1                  ,                    0                  ,2010
Dolphins,                    10.5                  ,                    28                  ,                    293                  ,                    0                  ,                    2                  ,                    1                  ,                    47                  ,                    22                  ,                    4                  ,                    0                  ,2010
Broncos,                    10.4                  ,                    31                  ,                    323                  ,                    0                  ,                    3                  ,                    0                  ,                    33                  ,                    15                  ,                    4                  ,                    0                  ,2010
Chiefs,                    10.1                  ,                    52                  ,                    524                  ,                    1                  ,                    6                  ,                    1                  ,                    94T                  ,                    9                  ,                    2                  ,                    0                  ,2010
Jaguars,                    10                  ,                    36                  ,                    359                  ,                    1                  ,                    5                  ,                    3                  ,                    78T                  ,                    8                  ,                    3                  ,                    1                  ,2010
Panthers,                    9.6                  ,                    39                  ,                    373                  ,                    0                  ,                    7                  ,                    0                  ,                    37                  ,                    6                  ,                    4                  ,                    1                  ,2010
Jets,                    9.4                  ,                    56                  ,                    529                  ,                    0                  ,                    5                  ,                    0                  ,                    32                  ,                    25                  ,                    3                  ,                    1                  ,2010
Vikings,                    8.6                  ,                    42                  ,                    361                  ,                    0                  ,                    4                  ,                    1                  ,                    52                  ,                    22                  ,                    2                  ,                    0                  ,2010
Packers,                    7.9                  ,                    41                  ,                    325                  ,                    0                  ,                    3                  ,                    2                  ,                    52                  ,                    19                  ,                    2                  ,                    0                  ,2010
Saints,                    7.8                  ,                    27                  ,                    210                  ,                    0                  ,                    2                  ,                    2                  ,                    72                  ,                    18                  ,                    3                  ,                    0                  ,2010
Ravens,                    7.4                  ,                    43                  ,                    319                  ,                    0                  ,                    4                  ,                    0                  ,                    35                  ,                    26                  ,                    3                  ,                    0                  ,2010
Bengals,                    7.2                  ,                    36                  ,                    258                  ,                    0                  ,                    2                  ,                    0                  ,                    27                  ,                    21                  ,                    1                  ,                    0                  ,2010
Raiders,                    7                  ,                    55                  ,                    386                  ,                    0                  ,                    3                  ,                    2                  ,                    53                  ,                    11                  ,                    2                  ,                    2                  ,2010
Cardinals,                    7                  ,                    42                  ,                    294                  ,                    0                  ,                    2                  ,                    0                  ,                    25                  ,                    8                  ,                    5                  ,                    0                  ,2010
Colts,                    6.9                  ,                    31                  ,                    214                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    24                  ,                    3                  ,                    1                  ,2010
Texans,                    6.7                  ,                    35                  ,                    235                  ,                    0                  ,                    1                  ,                    0                  ,                    39                  ,                    16                  ,                    0                  ,                    0                  ,2010
Buccaneers,                    6.4                  ,                    30                  ,                    193                  ,                    0                  ,                    2                  ,                    0                  ,                    23                  ,                    16                  ,                    3                  ,                    0                  ,2010
Giants,                    6.1                  ,                    43                  ,                    263                  ,                    0                  ,                    3                  ,                    0                  ,                    22                  ,                    13                  ,                    4                  ,                    0                  ,2010
Steelers,                    6.1                  ,                    37                  ,                    226                  ,                    0                  ,                    3                  ,                    0                  ,                    38                  ,                    19                  ,                    3                  ,                    1                  ,2010
Bears,                    15.7                  ,                    30                  ,                    470                  ,                    2                  ,                    9                  ,                    3                  ,                    82T                  ,                    16                  ,                    4                  ,                    0                  ,2011
Cardinals,                    15.1                  ,                    46                  ,                    696                  ,                    4                  ,                    8                  ,                    5                  ,                    99T                  ,                    22                  ,                    3                  ,                    0                  ,2011
Broncos,                    12.7                  ,                    47                  ,                    596                  ,                    2                  ,                    6                  ,                    2                  ,                    90                  ,                    19                  ,                    4                  ,                    0                  ,2011
Bills,                    12.6                  ,                    26                  ,                    329                  ,                    1                  ,                    4                  ,                    2                  ,                    80T                  ,                    21                  ,                    1                  ,                    0                  ,2011
Niners,                    12.4                  ,                    44                  ,                    544                  ,                    1                  ,                    10                  ,                    3                  ,                    55T                  ,                    23                  ,                    1                  ,                    0                  ,2011
