Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,year
Falcons,                    26.5                  ,                    46                  ,                    1221                  ,                    1                  ,                    35                  ,                    5                  ,                    102T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2010
Bears,                    25.4                  ,                    59                  ,                    1497                  ,                    0                  ,                    38                  ,                    10                  ,                    79                  ,                    1                  ,                    1                  ,                    1                  ,                    1                  ,2010
Jets,                    25.2                  ,                    63                  ,                    1588                  ,                    2                  ,                    35                  ,                    6                  ,                    97T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2010
Lions,                    24.9                  ,                    61                  ,                    1519                  ,                    1                  ,                    43                  ,                    5                  ,                    105T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2010
Cardinals,                    24.8                  ,                    84                  ,                    2084                  ,                    2                  ,                    53                  ,                    7                  ,                    102T                  ,                    0                  ,                    1                  ,                    3                  ,                    0                  ,2010
Ravens,                    24.7                  ,                    55                  ,                    1357                  ,                    1                  ,                    36                  ,                    2                  ,                    103T                  ,                    1                  ,                    2                  ,                    0                  ,                    0                  ,2010
Broncos,                    24.3                  ,                    59                  ,                    1435                  ,                    1                  ,                    35                  ,                    4                  ,                    97T                  ,                    0                  ,                    4                  ,                    0                  ,                    0                  ,2010
Buccaneers,                    24.3                  ,                    57                  ,                    1386                  ,                    1                  ,                    36                  ,                    4                  ,                    89T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2010
Titans,                    24.3                  ,                    64                  ,                    1556                  ,                    1                  ,                    42                  ,                    4                  ,                    98T                  ,                    0                  ,                    2                  ,                    1                  ,                    0                  ,2010
Seahawks,                    24                  ,                    65                  ,                    1558                  ,                    3                  ,                    35                  ,                    7                  ,                    101T                  ,                    0                  ,                    2                  ,                    3                  ,                    0                  ,2010
Chargers,                    24                  ,                    56                  ,                    1342                  ,                    0                  ,                    39                  ,                    2                  ,                    45                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2010
Jaguars,                    23.8                  ,                    80                  ,                    1903                  ,                    0                  ,                    55                  ,                    5                  ,                    65                  ,                    0                  ,                    3                  ,                    0                  ,                    0                  ,2010
Steelers,                    23.5                  ,                    49                  ,                    1153                  ,                    1                  ,                    32                  ,                    3                  ,                    89T                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2010
Redskins,                    23                  ,                    73                  ,                    1680                  ,                    1                  ,                    48                  ,                    5                  ,                    96T                  ,                    0                  ,                    2                  ,                    2                  ,                    0                  ,2010
Saints,                    22.7                  ,                    52                  ,                    1181                  ,                    0                  ,                    39                  ,                    0                  ,                    39                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2010
Raiders,                    22.5                  ,                    68                  ,                    1532                  ,                    3                  ,                    33                  ,                    4                  ,                    101T                  ,                    0                  ,                    4                  ,                    0                  ,                    0                  ,2010
Vikings,                    22.3                  ,                    64                  ,                    1427                  ,                    1                  ,                    37                  ,                    6                  ,                    95T                  ,                    1                  ,                    2                  ,                    0                  ,                    0                  ,2010
Patriots,                    22                  ,                    56                  ,                    1231                  ,                    2                  ,                    28                  ,                    3                  ,                    103T                  ,                    1                  ,                    1                  ,                    1                  ,                    0                  ,2010
Panthers,                    21.9                  ,                    74                  ,                    1619                  ,                    0                  ,                    40                  ,                    5                  ,                    64                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2010
Bengals,                    21.8                  ,                    71                  ,                    1551                  ,                    0                  ,                    40                  ,                    4                  ,                    60                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2010
