Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,year
Patriots,                    100                  ,                    6397                  ,                    17                  ,                    17                  ,                    81                  ,                    22.5                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2010
Eagles,                    96                  ,                    6214                  ,                    23                  ,                    24                  ,                    69                  ,                    21.8                  ,                    2                  ,                    1                  ,                    2                  ,                    0                  ,2010
Chargers,                    96                  ,                    5924                  ,                    6                  ,                    6.2                  ,                    84                  ,                    22.4                  ,                    4                  ,                    1                  ,                    3                  ,                    3                  ,2010
Raiders,                    93                  ,                    6091                  ,                    29                  ,                    31.2                  ,                    61                  ,                    23.2                  ,                    1                  ,                    0                  ,                    1                  ,                    1                  ,2010
Colts,                    91                  ,                    6069                  ,                    16                  ,                    17.6                  ,                    73                  ,                    25.8                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2010
Falcons,                    88                  ,                    5945                  ,                    23                  ,                    26.1                  ,                    64                  ,                    21.3                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2010
Texans,                    86                  ,                    5695                  ,                    13                  ,                    15.1                  ,                    72                  ,                    24.2                  ,                    2                  ,                    1                  ,                    0                  ,                    1                  ,2010
Steelers,                    86                  ,                    5213                  ,                    7                  ,                    8.1                  ,                    77                  ,                    20                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2010
Cowboys,                    85                  ,                    5654                  ,                    22                  ,                    25.9                  ,                    56                  ,                    24.3                  ,                    3                  ,                    0                  ,                    3                  ,                    1                  ,2010
Giants,                    85                  ,                    5295                  ,                    7                  ,                    8.2                  ,                    77                  ,                    19.7                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2010
Packers,                    84                  ,                    5173                  ,                    4                  ,                    4.8                  ,                    76                  ,                    21.8                  ,                    1                  ,                    1                  ,                    3                  ,                    0                  ,2010
Saints,                    84                  ,                    5481                  ,                    14                  ,                    16.7                  ,                    66                  ,                    24.1                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2010
Jets,                    81                  ,                    5025                  ,                    7                  ,                    8.6                  ,                    73                  ,                    19.6                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2010
Ravens,                    79                  ,                    5620                  ,                    40                  ,                    50.6                  ,                    38                  ,                    26                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2010
Bears,                    78                  ,                    5018                  ,                    16                  ,                    20.5                  ,                    59                  ,                    23.8                  ,                    1                  ,                    0                  ,                    2                  ,                    0                  ,2010
Broncos,                    78                  ,                    4973                  ,                    22                  ,                    28.2                  ,                    51                  ,                    24.7                  ,                    5                  ,                    2                  ,                    0                  ,                    1                  ,2010
Chiefs,                    78                  ,                    4794                  ,                    8                  ,                    10.3                  ,                    66                  ,                    20.2                  ,                    2                  ,                    0                  ,                    2                  ,                    1                  ,2010
Buccaneers,                    78                  ,                    4811                  ,                    1                  ,                    1.3                  ,                    75                  ,                    20.7                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2010
Lions,                    77                  ,                    4775                  ,                    3                  ,                    3.9                  ,                    72                  ,                    20.6                  ,                    2                  ,                    1                  ,                    0                  ,                    1                  ,2010
Bengals,                    76                  ,                    4692                  ,                    8                  ,                    10.5                  ,                    64                  ,                    23.5                  ,                    3                  ,                    1                  ,                    1                  ,                    2                  ,2010
Titans,                    76                  ,                    5071                  ,                    17                  ,                    22.4                  ,                    56                  ,                    24.8                  ,                    1                  ,                    1                  ,                    2                  ,                    1                  ,2010
Jaguars,                    76                  ,                    5044                  ,                    15                  ,                    19.7                  ,                    59                  ,                    21.5                  ,                    1                  ,                    0                  ,                    2                  ,                    1                  ,2010
Rams,                    73                  ,                    4866                  ,                    5                  ,                    6.8                  ,                    65                  ,                    23.7                  ,                    2                  ,                    0                  ,                    2                  ,                    1                  ,2010
Seahawks,                    73                  ,                    4745                  ,                    20                  ,                    27.4                  ,                    50                  ,                    22                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2010
Niners,                    72                  ,                    4482                  ,                    5                  ,                    6.9                  ,                    67                  ,                    22.2                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2010
Redskins,                    72                  ,                    4693                  ,                    9                  ,                    12.5                  ,                    61                  ,                    19                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2010
Dolphins,                    70                  ,                    4603                  ,                    14                  ,                    20                  ,                    53                  ,                    24.6                  ,                    0                  ,                    0                  ,                    3                  ,                    2                  ,2010
Cardinals,                    70                  ,                    4552                  ,                    16                  ,                    22.9                  ,                    51                  ,                    24.2                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2010
Bills,                    68                  ,                    4277                  ,                    8                  ,                    11.8                  ,                    57                  ,                    21.7                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2010
Browns,                    67                  ,                    4057                  ,                    7                  ,                    10.4                  ,                    54                  ,                    17.8                  ,                    4                  ,                    0                  ,                    2                  ,                    0                  ,2010
Vikings,                    65                  ,                    4050                  ,                    3                  ,                    4.6                  ,                    61                  ,                    23.8                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2010
Panthers,                    58                  ,                    3811                  ,                    11                  ,                    19                  ,                    45                  ,                    23.6                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2010
Packers,                    110                  ,                    7130                  ,                    49                  ,                    44.6                  ,                    59                  ,                    23.4                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2011
Saints,                    107                  ,                    6962                  ,                    68                  ,                    63.6                  ,                    36                  ,                    25.8                  ,                    3                  ,                    0                  ,                    0                  ,                    1                  ,2011
Patriots,                    104                  ,                    6821                  ,                    41                  ,                    39.4                  ,                    60                  ,                    21.6                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2011
Lions,                    97                  ,                    6419                  ,                    45                  ,                    46.4                  ,                    49                  ,                    25.6                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2011
Niners,                    94                  ,                    6228                  ,                    47                  ,                    50                  ,                    46                  ,                    23.1                  ,                    1                  ,                    1                  ,                    0                  ,                    0                  ,2011
Chargers,                    91                  ,                    5944                  ,                    32                  ,                    35.2                  ,                    57                  ,                    25.5                  ,                    2                  ,                    2                  ,                    0                  ,                    1                  ,2011
Falcons,                    88                  ,                    5745                  ,                    25                  ,                    28.4                  ,                    60                  ,                    24.8                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2011
Cowboys,                    86                  ,                    5627                  ,                    33                  ,                    38.4                  ,                    52                  ,                    21.4                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2011
Texans,                    86                  ,                    5568                  ,                    38                  ,                    44.2                  ,                    46                  ,                    22.4                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2011
Eagles,                    85                  ,                    5521                  ,                    32                  ,                    37.6                  ,                    51                  ,                    23.1                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2011
Panthers,                    84                  ,                    5451                  ,                    53                  ,                    63.1                  ,                    30                  ,                    27                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2011
Ravens,                    83                  ,                    5562                  ,                    45                  ,                    54.2                  ,                    36                  ,                    29.2                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2011
Bears,                    82                  ,                    5254                  ,                    43                  ,                    52.4                  ,                    35                  ,                    24.4                  ,                    2                  ,                    0                  ,                    3                  ,                    0                  ,2011
Dolphins,                    82                  ,                    5407                  ,                    40                  ,                    48.8                  ,                    41                  ,                    22.8                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2011
Giants,                    82                  ,                    5291                  ,                    34                  ,                    41.5                  ,                    46                  ,                    22.9                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2011
Raiders,                    81                  ,                    5130                  ,                    32                  ,                    39.5                  ,                    47                  ,                    25.7                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2011
Jets,                    81                  ,                    5156                  ,                    17                  ,                    21                  ,                    61                  ,                    21.2                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2011
Bengals,                    80                  ,                    5317                  ,                    36                  ,                    45                  ,                    44                  ,                    20.8                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Bills,                    79                  ,                    4935                  ,                    19                  ,                    24                  ,                    56                  ,                    20.4                  ,                    4                  ,                    1                  ,                    1                  ,                    0                  ,2011
Titans,                    78                  ,                    4991                  ,                    44                  ,                    56.4                  ,                    30                  ,                    22.7                  ,                    2                  ,                    1                  ,                    2                  ,                    0                  ,2011
Vikings,                    78                  ,                    5027                  ,                    19                  ,                    24.4                  ,                    57                  ,                    24.6                  ,                    1                  ,                    0                  ,                    1                  ,                    1                  ,2011
Seahawks,                    75                  ,                    4969                  ,                    26                  ,                    34.7                  ,                    48                  ,                    26                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2011
Cardinals,                    74                  ,                    4993                  ,                    22                  ,                    29.7                  ,                    52                  ,                    25                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Redskins,                    73                  ,                    4629                  ,                    32                  ,                    43.8                  ,                    36                  ,                    20.8                  ,                    3                  ,                    0                  ,                    3                  ,                    0                  ,2011
Steelers,                    72                  ,                    4789                  ,                    28                  ,                    38.9                  ,                    43                  ,                    23.7                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2011
Broncos,                    70                  ,                    4508                  ,                    47                  ,                    67.1                  ,                    20                  ,                    24.6                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2011
Buccaneers,                    69                  ,                    4270                  ,                    37                  ,                    53.6                  ,                    25                  ,                    22.8                  ,                    6                  ,                    1                  ,                    1                  ,                    1                  ,2011
Jaguars,                    65                  ,                    4319                  ,                    39                  ,                    60                  ,                    26                  ,                    24.3                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Colts,                    63                  ,                    4220                  ,                    41                  ,                    65.1                  ,                    19                  ,                    30.7                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2011
Chiefs,                    60                  ,                    3737                  ,                    31                  ,                    51.7                  ,                    25                  ,                    24.2                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2011
Browns,                    59                  ,                    3728                  ,                    10                  ,                    17                  ,                    46                  ,                    22.9                  ,                    3                  ,                    1                  ,                    1                  ,                    1                  ,2011
Rams,                    54                  ,                    3537                  ,                    15                  ,                    27.8                  ,                    36                  ,                    25.1                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2011
Patriots,                    112                  ,                    7274                  ,                    52                  ,                    46.4                  ,                    60                  ,                    20.5                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2012
Broncos,                    99                  ,                    6365                  ,                    65                  ,                    65.7                  ,                    34                  ,                    22.1                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Falcons,                    94                  ,                    6141                  ,                    45                  ,                    47.9                  ,                    48                  ,                    22.2                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2012
Giants,                    94                  ,                    6062                  ,                    24                  ,                    25.5                  ,                    70                  ,                    23.7                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2012
Texans,                    92                  ,                    5790                  ,                    28                  ,                    30.4                  ,                    62                  ,                    25.7                  ,                    2                  ,                    0                  ,                    0                  ,                    2                  ,2012
Saints,                    92                  ,                    5887                  ,                    45                  ,                    48.9                  ,                    42                  ,                    25                  ,                    4                  ,                    0                  ,                    1                  ,                    1                  ,2012
Redskins,                    91                  ,                    5797                  ,                    33                  ,                    36.3                  ,                    55                  ,                    23                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2012
Ravens,                    89                  ,                    6002                  ,                    49                  ,                    55.1                  ,                    37                  ,                    23.2                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2012
Bengals,                    88                  ,                    5835                  ,                    27                  ,                    30.7                  ,                    60                  ,                    24.5                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2012
Packers,                    88                  ,                    5741                  ,                    35                  ,                    39.8                  ,                    51                  ,                    23.4                  ,                    1                  ,                    1                  ,                    1                  ,                    0                  ,2012
Niners,                    88                  ,                    5805                  ,                    40                  ,                    45.4                  ,                    48                  ,                    26.8                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Seahawks,                    88                  ,                    5795                  ,                    36                  ,                    40.9                  ,                    50                  ,                    22.9                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2012
Lions,                    87                  ,                    5414                  ,                    30                  ,                    34.5                  ,                    52                  ,                    23.3                  ,                    2                  ,                    1                  ,                    2                  ,                    2                  ,2012
Buccaneers,                    87                  ,                    5727                  ,                    58                  ,                    66.7                  ,                    27                  ,                    25.2                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2012
Bears,                    86                  ,                    5639                  ,                    49                  ,                    57                  ,                    37                  ,                    20.7                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2012
Vikings,                    86                  ,                    5858                  ,                    53                  ,                    61.6                  ,                    33                  ,                    24.1                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Cowboys,                    84                  ,                    5212                  ,                    30                  ,                    35.7                  ,                    50                  ,                    22                  ,                    5                  ,                    1                  ,                    1                  ,                    1                  ,2012
Colts,                    79                  ,                    5455                  ,                    45                  ,                    57                  ,                    34                  ,                    24.7                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Chargers,                    78                  ,                    5081                  ,                    30                  ,                    38.5                  ,                    45                  ,                    22.6                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2012
Panthers,                    77                  ,                    4836                  ,                    37                  ,                    48                  ,                    39                  ,                    19                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2012
Browns,                    77                  ,                    4914                  ,                    30                  ,                    39                  ,                    43                  ,                    19.8                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2012
Steelers,                    75                  ,                    4784                  ,                    29                  ,                    38.7                  ,                    46                  ,                    24                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Titans,                    74                  ,                    4725                  ,                    37                  ,                    50                  ,                    33                  ,                    26.1                  ,                    3                  ,                    0                  ,                    2                  ,                    1                  ,2012
Bills,                    73                  ,                    4530                  ,                    20                  ,                    27.4                  ,                    51                  ,                    22.4                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2012
Raiders,                    73                  ,                    4565                  ,                    38                  ,                    52                  ,                    30                  ,                    28.9                  ,                    7                  ,                    0                  ,                    2                  ,                    2                  ,2012
Dolphins,                    71                  ,                    4630                  ,                    34                  ,                    47.9                  ,                    35                  ,                    24.8                  ,                    2                  ,                    1                  ,                    0                  ,                    1                  ,2012
Eagles,                    70                  ,                    4429                  ,                    26                  ,                    37.1                  ,                    41                  ,                    24.7                  ,                    3                  ,                    1                  ,                    0                  ,                    0                  ,2012
Jaguars,                    69                  ,                    4469                  ,                    26                  ,                    37.7                  ,                    39                  ,                    25.9                  ,                    3                  ,                    1                  ,                    1                  ,                    0                  ,2012
Jets,                    69                  ,                    4360                  ,                    12                  ,                    17.4                  ,                    54                  ,                    21.9                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2012
Rams,                    68                  ,                    4507                  ,                    37                  ,                    54.4                  ,                    30                  ,                    24.3                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2012
Cardinals,                    64                  ,                    4000                  ,                    29                  ,                    45.3                  ,                    32                  ,                    26.4                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2012
Chiefs,                    58                  ,                    3716                  ,                    27                  ,                    46.6                  ,                    27                  ,                    25.6                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2012
