Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,year
Rams,                    33                  ,                    84.6                  ,                    26                  ,                    96.3                  ,                    0                  ,                    0                  ,2010
Raiders,                    33                  ,                    80.5                  ,                    43                  ,                    100                  ,                    3                  ,                    0                  ,2010
Eagles,                    32                  ,                    84.2                  ,                    47                  ,                    100                  ,                    0                  ,                    1                  ,2010
Dolphins,                    30                  ,                    73.2                  ,                    25                  ,                    100                  ,                    0                  ,                    0                  ,2010
Jets,                    30                  ,                    76.9                  ,                    37                  ,                    100                  ,                    2                  ,                    0                  ,2010
Steelers,                    29                  ,                    78.4                  ,                    38                  ,                    100                  ,                    1                  ,                    0                  ,2010
Falcons,                    28                  ,                    90.3                  ,                    44                  ,                    100                  ,                    1                  ,                    1                  ,2010
Texans,                    27                  ,                    90                  ,                    43                  ,                    100                  ,                    0                  ,                    0                  ,2010
Chargers,                    27                  ,                    81.8                  ,                    48                  ,                    100                  ,                    0                  ,                    0                  ,2010
Ravens,                    26                  ,                    89.7                  ,                    39                  ,                    100                  ,                    1                  ,                    0                  ,2010
Colts,                    26                  ,                    92.9                  ,                    51                  ,                    100                  ,                    1                  ,                    0                  ,2010
Panthers,                    25                  ,                    86.2                  ,                    17                  ,                    100                  ,                    0                  ,                    0                  ,2010
Bears,                    25                  ,                    83.3                  ,                    35                  ,                    100                  ,                    0                  ,                    3                  ,2010
Lions,                    25                  ,                    83.3                  ,                    35                  ,                    97.2                  ,                    1                  ,                    0                  ,2010
Saints,                    25                  ,                    80.6                  ,                    43                  ,                    100                  ,                    0                  ,                    0                  ,2010
Seahawks,                    25                  ,                    83.3                  ,                    31                  ,                    100                  ,                    3                  ,                    0                  ,2010
Bengals,                    24                  ,                    77.4                  ,                    30                  ,                    93.8                  ,                    0                  ,                    0                  ,2010
Cowboys,                    24                  ,                    75                  ,                    42                  ,                    95.4                  ,                    0                  ,                    3                  ,2010
Titans,                    24                  ,                    92.3                  ,                    38                  ,                    100                  ,                    1                  ,                    1                  ,2010
Cardinals,                    24                  ,                    88.9                  ,                    29                  ,                    100                  ,                    2                  ,                    0                  ,2010
Redskins,                    24                  ,                    68.6                  ,                    28                  ,                    100                  ,                    1                  ,                    0                  ,2010
Browns,                    23                  ,                    82.1                  ,                    28                  ,                    100                  ,                    0                  ,                    0                  ,2010
Buccaneers,                    23                  ,                    82.1                  ,                    36                  ,                    100                  ,                    1                  ,                    0                  ,2010
Broncos,                    22                  ,                    88                  ,                    38                  ,                    97.4                  ,                    1                  ,                    0                  ,2010
Packers,                    22                  ,                    78.6                  ,                    46                  ,                    100                  ,                    0                  ,                    0                  ,2010
Jaguars,                    22                  ,                    78.6                  ,                    41                  ,                    100                  ,                    0                  ,                    1                  ,2010
Patriots,                    22                  ,                    88                  ,                    62                  ,                    96.9                  ,                    2                  ,                    1                  ,2010
Niners,                    22                  ,                    81.5                  ,                    33                  ,                    100                  ,                    0                  ,                    1                  ,2010
Chiefs,                    20                  ,                    76.9                  ,                    42                  ,                    100                  ,                    0                  ,                    1                  ,2010
Giants,                    19                  ,                    82.6                  ,                    47                  ,                    100                  ,                    0                  ,                    0                  ,2010
Vikings,                    17                  ,                    94.4                  ,                    30                  ,                    96.8                  ,                    1                  ,                    0                  ,2010
Bills,                    16                  ,                    76.2                  ,                    31                  ,                    96.9                  ,                    1                  ,                    0                  ,2010
Niners,                    44                  ,                    84.6                  ,                    34                  ,                    100                  ,                    1                  ,                    1                  ,2011
Bengals,                    33                  ,                    86.8                  ,                    33                  ,                    97.1                  ,                    0                  ,                    1                  ,2011
Dolphins,                    33                  ,                    84.6                  ,                    32                  ,                    100                  ,                    0                  ,                    0                  ,2011
Cowboys,                    32                  ,                    86.5                  ,                    39                  ,                    100                  ,                    0                  ,                    0                  ,2011
Texans,                    32                  ,                    84.2                  ,                    39                  ,                    97.5                  ,                    0                  ,                    1                  ,2011
Raiders,                    31                  ,                    88.6                  ,                    36                  ,                    100                  ,                    1                  ,                    0                  ,2011
Redskins,                    31                  ,                    75.6                  ,                    25                  ,                    96.2                  ,                    0                  ,                    0                  ,2011
Ravens,                    30                  ,                    76.9                  ,                    40                  ,                    100                  ,                    0                  ,                    1                  ,2011
Titans,                    29                  ,                    90.6                  ,                    34                  ,                    100                  ,                    1                  ,                    1                  ,2011
Bears,                    28                  ,                    87.5                  ,                    37                  ,                    100                  ,                    1                  ,                    2                  ,2011
Patriots,                    28                  ,                    84.8                  ,                    59                  ,                    100                  ,                    0                  ,                    1                  ,2011
Saints,                    28                  ,                    82.4                  ,                    63                  ,                    100                  ,                    0                  ,                    1                  ,2011
Chargers,                    28                  ,                    80                  ,                    44                  ,                    97.8                  ,                    1                  ,                    0                  ,2011
Falcons,                    27                  ,                    93.1                  ,                    45                  ,                    100                  ,                    0                  ,                    0                  ,2011
Buccaneers,                    26                  ,                    92.9                  ,                    23                  ,                    100                  ,                    0                  ,                    0                  ,2011
Seahawks,                    25                  ,                    83.3                  ,                    34                  ,                    100                  ,                    0                  ,                    0                  ,2011
Browns,                    24                  ,                    82.8                  ,                    20                  ,                    100                  ,                    0                  ,                    1                  ,2011
Lions,                    24                  ,                    82.8                  ,                    54                  ,                    100                  ,                    0                  ,                    0                  ,2011
Packers,                    24                  ,                    85.7                  ,                    68                  ,                    98.6                  ,                    1                  ,                    1                  ,2011
Chiefs,                    24                  ,                    80                  ,                    20                  ,                    100                  ,                    0                  ,                    0                  ,2011
Eagles,                    24                  ,                    88.9                  ,                    46                  ,                    100                  ,                    0                  ,                    0                  ,2011
Bills,                    23                  ,                    74.2                  ,                    41                  ,                    100                  ,                    0                  ,                    1                  ,2011
Colts,                    23                  ,                    85.2                  ,                    24                  ,                    100                  ,                    0                  ,                    0                  ,2011
Jaguars,                    23                  ,                    92                  ,                    24                  ,                    100                  ,                    0                  ,                    0                  ,2011
Steelers,                    23                  ,                    74.2                  ,                    36                  ,                    100                  ,                    0                  ,                    1                  ,2011
Panthers,                    22                  ,                    78.6                  ,                    44                  ,                    97.8                  ,                    1                  ,                    0                  ,2011
Vikings,                    22                  ,                    78.6                  ,                    38                  ,                    97.4                  ,                    1                  ,                    0                  ,2011
Rams,                    21                  ,                    75                  ,                    18                  ,                    100                  ,                    0                  ,                    1                  ,2011
Broncos,                    19                  ,                    76                  ,                    30                  ,                    100                  ,                    0                  ,                    2                  ,2011
Giants,                    19                  ,                    79.2                  ,                    43                  ,                    100                  ,                    0                  ,                    0                  ,2011
Jets,                    19                  ,                    76                  ,                    44                  ,                    100                  ,                    1                  ,                    0                  ,2011
