Date,Time (ET),Away Team,Home Team
2024/9/5,8:20 PM,Baltimore Ravens,Kansas City Chiefs
2024/9/6,8:15 PM,Green Bay Packers,Philadelphia Eagles
2024/9/8,1:00 PM,Arizona Cardinals,Buffalo Bills
2024/9/8,1:00 PM,Carolina Panthers,New Orleans Saints
2024/9/8,1:00 PM,Houston Texans,Indianapolis Colts
2024/9/8,1:00 PM,Jacksonville Jaguars,Miami Dolphins
2024/9/8,1:00 PM,Minnesota Vikings,New York Giants
2024/9/8,1:00 PM,New England Patriots,Cincinnati Bengals
2024/9/8,1:00 PM,Pittsburgh Steelers,Atlanta Falcons
2024/9/8,1:00 PM,Tennessee Titans,Chicago Bears
2024/9/8,4:05 PM,Denver Broncos,Seattle Seahawks
2024/9/8,4:05 PM,Las Vegas Raiders,Los Angeles Chargers
2024/9/8,4:25 PM,Dallas Cowboys,Cleveland Browns
2024/9/8,4:25 PM,Washington Commanders,Tampa Bay Buccaneers
2024/9/8,8:20 PM,Los Angeles Rams,Detroit Lions
2024/9/9,8:15 PM,New York Jets,San Francisco 49ers
2024/9/12,8:15 PM,Buffalo Bills,Miami Dolphins
2024/9/15,1:00 PM,Cleveland Browns,Jacksonville Jaguars
2024/9/15,1:00 PM,Indianapolis Colts,Green Bay Packers
2024/9/15,1:00 PM,Las Vegas Raiders,Baltimore Ravens
2024/9/15,1:00 PM,Los Angeles Chargers,Carolina Panthers
2024/9/15,1:00 PM,New Orleans Saints,Dallas Cowboys
2024/9/15,1:00 PM,New York Giants,Washington Commanders
2024/9/15,1:00 PM,New York Jets,Tennessee Titans
2024/9/15,1:00 PM,San Francisco 49ers,Minnesota Vikings
2024/9/15,1:00 PM,Seattle Seahawks,New England Patriots
2024/9/15,1:00 PM,Tampa Bay Buccaneers,Detroit Lions
2024/9/15,4:05 PM,Los Angeles Rams,Arizona Cardinals
2024/9/15,4:25 PM,Cincinnati Bengals,Kansas City Chiefs
2024/9/15,4:25 PM,Pittsburgh Steelers,Denver Broncos
2024/9/15,8:20 PM,Chicago Bears,Houston Texans
2024/9/16,8:15 PM,Atlanta Falcons,Philadelphia Eagles
2024/9/19,8:15 PM,New England Patriots,New York Jets
2024/9/22,1:00 PM,Chicago Bears,Indianapolis Colts
2024/9/22,1:00 PM,Denver Broncos,Tampa Bay Buccaneers
2024/9/22,1:00 PM,Green Bay Packers,Tennessee Titans
2024/9/22,1:00 PM,Houston Texans,Minnesota Vikings
2024/9/22,1:00 PM,Los Angeles Chargers,Pittsburgh Steelers
2024/9/22,1:00 PM,New York Giants,Cleveland Browns
2024/9/22,1:00 PM,Philadelphia Eagles,New Orleans Saints
2024/9/22,4:05 PM,Carolina Panthers,Las Vegas Raiders
2024/9/22,4:05 PM,Miami Dolphins,Seattle Seahawks
2024/9/22,4:25 PM,Baltimore Ravens,Dallas Cowboys
2024/9/22,4:25 PM,Detroit Lions,Arizona Cardinals
